ReservaID,FechaReserva,CanalID,CanalVenta,ClienteID,ClienteEmail,ClienteNombre,SeguroSiNo,EstadoReserva
3000048,2023-02-10,CH01,Web,C0374,cliente0374@viajaya.es,Mario Hernández,No,Pendiente
3000049,2023-02-10,CH04,Partner,C0269,cliente0269@viajaya.es,Sofía Martín,No,Confirmada
3000050,2023-02-10,CH04,Partner,C0548,cliente0548@viajaya.es,Pablo Pérez,Sí,Confirmada
3000051,2023-02-10,CH01,Web,C0273,cliente0273@viajaya.es,Bruno Navarro,No,Confirmada
3000052,2023-02-10,CH02,Teléfono,C0367,cliente0367@viajaya.es,Elena Sánchez,Sí,Confirmada
3000053,2023-02-10,CH04,Partner,C0026,cliente0026@viajaya.es,David Díaz,No,Confirmada
3000054,2023-02-10,CH02,Teléfono,C0519,cliente0519@viajaya.es,Ana López,No,Pendiente
3000055,2023-02-11,CH03,Agencia física,C0175,cliente0175@viajaya.es,Pablo Pérez,No,Confirmada
3000056,2023-02-11,CH01,Web,C0293,cliente0293@viajaya.es,Laura Hernández,No,Confirmada
3000057,2023-02-11,CH01,Web,C0401,cliente0401@viajaya.es,Mario Díaz,No,Confirmada
3000058,2023-02-11,CH04,Partner,C0208,cliente0208@viajaya.es,Ana Díaz,No,Confirmada
3000059,2023-02-12,CH04,Partner,C0649,cliente0649@viajaya.es,Jorge García,No,Confirmada
3000060,2023-02-12,CH03,Agencia física,C0180,cliente0180@viajaya.es,Hugo Díaz,Sí,Confirmada
3000061,2023-02-12,CH02,Teléfono,C0440,cliente0440@viajaya.es,Mario López,No,Confirmada
3000062,2023-02-12,CH02,Teléfono,C0648,cliente0648@viajaya.es,Pablo Romero,Sí,Confirmada
3000063,2023-02-12,CH01,Web,C0431,cliente0431@viajaya.es,Bruno Martín,Sí,Confirmada
3000064,2023-02-13,CH03,Agencia física,C0174,cliente0174@viajaya.es,David Hernández,No,Confirmada
3000065,2023-02-13,CH03,Agencia física,C0539,cliente0539@viajaya.es,Laura García,No,Confirmada
3000066,2023-02-13,CH03,Agencia física,C0366,cliente0366@viajaya.es,Ana Romero,No,Confirmada
3000067,2023-02-13,CH04,Partner,C0425,cliente0425@viajaya.es,Marta Díaz,No,Confirmada
3000068,2023-02-13,CH02,Teléfono,C0504,cliente0504@viajaya.es,Mario Ruiz,Sí,Confirmada
3000069,2023-02-14,CH03,Agencia física,C0457,cliente0457@viajaya.es,Nuria Pérez,Sí,Confirmada
3000070,2023-02-14,CH04,Partner,C0260,cliente0260@viajaya.es,Laura Romero,Sí,Confirmada
3000071,2023-02-14,CH01,Web,C0204,cliente0204@viajaya.es,Nuria Navarro,No,Confirmada
3000072,2023-02-15,CH03,Agencia física,C0052,cliente0052@viajaya.es,Lucía Romero,Sí,Pendiente
3000073,2023-02-15,CH01,Web,C0043,cliente0043@viajaya.es,Ana García,No,Confirmada
3000074,2023-02-15,CH02,Teléfono,C0624,cliente0624@viajaya.es,Hugo Ruiz,No,Confirmada
3000075,2023-02-15,CH04,Partner,C0109,cliente0109@viajaya.es,Bruno Sánchez,Sí,Confirmada
3000076,2023-02-15,CH02,Teléfono,C0007,cliente0007@viajaya.es,Hugo Navarro,No,Confirmada
3000077,2023-02-15,CH02,Teléfono,C0588,cliente0588@viajaya.es,Lucía Hernández,Sí,Pendiente
3000078,2023-02-15,CH04,Partner,C0140,cliente0140@viajaya.es,Lucía Hernández,Sí,Confirmada
3000079,2023-02-16,CH02,Teléfono,C0169,cliente0169@viajaya.es,Pablo García,No,Confirmada
3000080,2023-02-16,CH04,Partner,C0405,cliente0405@viajaya.es,Jorge Sánchez,No,Pendiente
3000081,2023-02-16,CH04,Partner,C0516,cliente0516@viajaya.es,Elena López,No,Confirmada
3000082,2023-02-16,CH03,Agencia física,C0234,cliente0234@viajaya.es,Jorge Hernández,Sí,Confirmada
3000083,2023-02-17,CH01,Web,C0092,cliente0092@viajaya.es,David Ruiz,Sí,Confirmada
3000084,2023-02-17,CH03,Agencia física,C0276,cliente0276@viajaya.es,Carla Navarro,No,Pendiente
3000085,2023-02-17,CH01,Web,C0034,cliente0034@viajaya.es,David Ruiz,No,Cancelada
3000086,2023-02-17,CH04,Partner,C0497,cliente0497@viajaya.es,Mario Díaz,No,Confirmada
3000087,2023-02-17,CH02,Teléfono,C0221,cliente0221@viajaya.es,Carla Sánchez,No,Confirmada
3000088,2023-02-18,CH01,Web,C0354,cliente0354@viajaya.es,Marta Ruiz,No,Confirmada
3000089,2023-02-18,CH01,Web,C0576,cliente0576@viajaya.es,Carla Díaz,No,Confirmada
3000090,2023-02-18,CH03,Agencia física,C0637,cliente0637@viajaya.es,Laura Ruiz,No,Confirmada
3000091,2023-02-18,CH01,Web,C0247,cliente0247@viajaya.es,Pablo García,Sí,Confirmada
3000092,2023-02-18,CH02,Teléfono,C0178,cliente0178@viajaya.es,Nuria García,No,Confirmada
3000093,2023-02-18,CH03,Agencia física,C0291,cliente0291@viajaya.es,Bruno López,No,Cancelada
3000094,2023-02-18,CH03,Agencia física,C0347,cliente0347@viajaya.es,Bruno Hernández,No,Confirmada
3000095,2023-02-19,CH01,Web,C0518,cliente0518@viajaya.es,David García,Sí,Confirmada
3000096,2023-02-19,CH02,Teléfono,C0333,cliente0333@viajaya.es,Lucía Pérez,Sí,Confirmada
3000097,2023-02-19,CH01,Web,C0575,cliente0575@viajaya.es,David López,Sí,Confirmada
3000098,2023-02-19,CH01,Web,C0033,cliente0033@viajaya.es,Carla López,No,Confirmada
3000099,2023-02-20,CH04,Partner,C0197,cliente0197@viajaya.es,Bruno Díaz,No,Confirmada
3000100,2023-02-20,CH04,Partner,C0069,cliente0069@viajaya.es,Mario Sánchez,No,Confirmada
3000101,2023-02-20,CH01,Web,C0057,cliente0057@viajaya.es,David Navarro,Sí,Confirmada
3000102,2023-02-21,CH02,Teléfono,C0227,cliente0227@viajaya.es,Laura Sánchez,No,Confirmada
3000103,2023-02-21,CH02,Teléfono,C0121,cliente0121@viajaya.es,Ana Navarro,No,Confirmada
3000104,2023-02-22,CH04,Partner,C0249,cliente0249@viajaya.es,Sofía Sánchez,No,Confirmada
3000105,2023-02-22,CH03,Agencia física,C0440,cliente0440@viajaya.es,Mario López,Sí,Pendiente
3000106,2023-02-22,CH04,Partner,C0117,cliente0117@viajaya.es,Laura Pérez,No,Confirmada
3000107,2023-02-22,CH03,Agencia física,C0202,cliente0202@viajaya.es,Marta López,Sí,Confirmada
3000108,2023-02-22,CH01,Web,C0637,cliente0637@viajaya.es,Laura Ruiz,No,Confirmada
3000109,2023-02-22,CH02,Teléfono,C0075,cliente0075@viajaya.es,David García,No,Confirmada
3000110,2023-02-22,CH02,Teléfono,C0527,cliente0527@viajaya.es,Hugo Ruiz,Sí,Confirmada
3000111,2023-02-22,CH02,Teléfono,C0451,cliente0451@viajaya.es,Mario Hernández,No,Pendiente
3000112,2023-02-23,CH04,Partner,C0107,cliente0107@viajaya.es,Laura Romero,Sí,Confirmada
3000113,2023-02-23,CH04,Partner,C0508,cliente0508@viajaya.es,Ana Martín,No,Confirmada
3000114,2023-02-24,CH04,Partner,C0636,cliente0636@viajaya.es,Nuria Romero,Sí,Confirmada
3000115,2023-02-24,CH04,Partner,C0503,cliente0503@viajaya.es,Mario Romero,No,Confirmada
3000116,2023-02-25,CH02,Teléfono,C0273,cliente0273@viajaya.es,Bruno Navarro,No,Pendiente
3000117,2023-02-25,CH03,Agencia física,C0132,cliente0132@viajaya.es,Bruno García,No,Confirmada
3000118,2023-02-25,CH02,Teléfono,C0114,cliente0114@viajaya.es,Ana López,No,Confirmada
3000119,2023-02-26,CH02,Teléfono,C0396,cliente0396@viajaya.es,Mario Romero,No,Confirmada
3000120,2023-02-26,CH04,Partner,C0320,cliente0320@viajaya.es,Sofía Ruiz,No,Confirmada
3000121,2023-02-26,CH03,Agencia física,C0166,cliente0166@viajaya.es,Hugo Navarro,No,Confirmada
3000122,2023-02-26,CH03,Agencia física,C0183,cliente0183@viajaya.es,Marta Martín,Sí,Pendiente
3000123,2023-02-26,CH04,Partner,C0527,cliente0527@viajaya.es,Hugo Ruiz,Sí,Confirmada
3000124,2023-02-26,CH04,Partner,C0365,cliente0365@viajaya.es,Lucía López,Sí,Confirmada
3000125,2023-02-27,CH04,Partner,C0249,cliente0249@viajaya.es,Sofía Sánchez,Sí,Confirmada
3000126,2023-02-27,CH04,Partner,C0308,cliente0308@viajaya.es,Ana Hernández,No,Confirmada
3000127,2023-02-27,CH01,Web,C0537,cliente0537@viajaya.es,David Martín,No,Confirmada
3000128,2023-02-27,CH03,Agencia física,C0254,cliente0254@viajaya.es,Mario Navarro,No,Confirmada
3000129,2023-02-28,CH04,Partner,C0162,cliente0162@viajaya.es,Mario Romero,No,Confirmada
3000130,2023-02-28,CH04,Partner,C0609,cliente0609@viajaya.es,Laura Martín,No,Pendiente
3000131,2023-02-28,CH02,Teléfono,C0282,cliente0282@viajaya.es,Carla Navarro,Sí,Confirmada
3000132,2023-02-28,CH02,Teléfono,C0569,cliente0569@viajaya.es,Sofía Díaz,No,Confirmada
3000133,2023-02-28,CH01,Web,C0262,cliente0262@viajaya.es,Bruno Sánchez,No,Confirmada
3000134,2023-03-01,CH03,Agencia física,C0074,cliente0074@viajaya.es,Marta Sánchez,Sí,Confirmada
3000135,2023-03-01,CH02,Teléfono,C0346,cliente0346@viajaya.es,Jorge Navarro,Sí,Pendiente
3000136,2023-03-01,CH01,Web,C0023,cliente0023@viajaya.es,Ana Ruiz,No,Cancelada
3000137,2023-03-02,CH04,Partner,C0018,cliente0018@viajaya.es,Lucía Díaz,No,Cancelada
3000138,2023-03-03,CH01,Web,C0394,cliente0394@viajaya.es,Hugo López,No,Confirmada
3000139,2023-03-03,CH01,Web,C0339,cliente0339@viajaya.es,Jorge Ruiz,No,Confirmada
3000140,2023-03-03,CH03,Agencia física,C0025,cliente0025@viajaya.es,Elena Pérez,No,Confirmada
3000141,2023-03-03,CH01,Web,C0142,cliente0142@viajaya.es,Mario Martín,Sí,Confirmada
3000142,2023-03-03,CH04,Partner,C0300,cliente0300@viajaya.es,Elena García,Sí,Confirmada
3000143,2023-03-03,CH02,Teléfono,C0106,cliente0106@viajaya.es,Ana Martín,No,Confirmada
3000144,2023-03-03,CH01,Web,C0644,cliente0644@viajaya.es,Lucía López,No,Confirmada
3000145,2023-03-04,CH03,Agencia física,C0028,cliente0028@viajaya.es,Sofía Romero,No,Confirmada
3000146,2023-03-04,CH02,Teléfono,C0126,cliente0126@viajaya.es,David López,Sí,Confirmada
3000147,2023-03-04,CH04,Partner,C0021,cliente0021@viajaya.es,David Hernández,No,Confirmada
3000148,2023-03-04,CH01,Web,C0522,cliente0522@viajaya.es,Bruno Díaz,No,Confirmada
3000149,2023-03-04,CH01,Web,C0314,cliente0314@viajaya.es,Bruno Martín,Sí,Confirmada
3000150,2023-03-04,CH03,Agencia física,C0133,cliente0133@viajaya.es,Hugo Romero,No,Confirmada
3000151,2023-03-04,CH04,Partner,C0286,cliente0286@viajaya.es,Nuria Sánchez,Sí,Pendiente
3000152,2023-03-05,CH04,Partner,C0101,cliente0101@viajaya.es,Pablo García,No,Confirmada
3000153,2023-03-05,CH01,Web,C0196,cliente0196@viajaya.es,Nuria Martín,Sí,Confirmada
3000154,2023-03-05,CH02,Teléfono,C0249,cliente0249@viajaya.es,Sofía Sánchez,No,Confirmada
3000155,2023-03-05,CH02,Teléfono,C0039,cliente0039@viajaya.es,Jorge Romero,No,Confirmada
3000156,2023-03-05,CH04,Partner,C0102,cliente0102@viajaya.es,Jorge Hernández,Sí,Pendiente
3000157,2023-03-06,CH04,Partner,C0232,cliente0232@viajaya.es,Hugo López,No,Pendiente
3000158,2023-03-06,CH01,Web,C0428,cliente0428@viajaya.es,Carla García,No,Confirmada
3000159,2023-03-06,CH04,Partner,C0461,cliente0461@viajaya.es,Hugo Ruiz,Sí,Confirmada
3000160,2023-03-06,CH03,Agencia física,C0411,cliente0411@viajaya.es,Lucía Pérez,Sí,Confirmada
3000161,2023-03-07,CH01,Web,C0117,cliente0117@viajaya.es,Laura Pérez,No,Confirmada
3000162,2023-03-07,CH02,Teléfono,C0241,cliente0241@viajaya.es,Hugo Navarro,No,Confirmada
3000163,2023-03-07,CH02,Teléfono,C0577,cliente0577@viajaya.es,Ana Navarro,Sí,Confirmada
3000164,2023-03-08,CH03,Agencia física,C0615,cliente0615@viajaya.es,Laura Romero,No,Confirmada
3000165,2023-03-08,CH02,Teléfono,C0197,cliente0197@viajaya.es,Bruno Díaz,Sí,Confirmada
3000166,2023-03-08,CH04,Partner,C0164,cliente0164@viajaya.es,Lucía Navarro,No,Confirmada
3000167,2023-03-08,CH01,Web,C0567,cliente0567@viajaya.es,Ana Sánchez,No,Pendiente
3000168,2023-03-09,CH03,Agencia física,C0282,cliente0282@viajaya.es,Carla Navarro,Sí,Confirmada
3000169,2023-03-09,CH03,Agencia física,C0353,cliente0353@viajaya.es,Hugo Romero,No,Confirmada
3000170,2023-03-09,CH03,Agencia física,C0020,cliente0020@viajaya.es,David Martín,No,Confirmada
3000171,2023-03-10,CH01,Web,C0484,cliente0484@viajaya.es,Bruno Hernández,Sí,Confirmada
3000172,2023-03-10,CH01,Web,C0159,cliente0159@viajaya.es,Bruno Hernández,No,Confirmada
3000173,2023-03-10,CH03,Agencia física,C0262,cliente0262@viajaya.es,Bruno Sánchez,Sí,Confirmada
3000174,2023-03-10,CH02,Teléfono,C0519,cliente0519@viajaya.es,Ana López,No,Confirmada
3000175,2023-03-10,CH03,Agencia física,C0268,cliente0268@viajaya.es,David Pérez,Sí,Confirmada
3000176,2023-03-10,CH02,Teléfono,C0065,cliente0065@viajaya.es,Carla Sánchez,No,Confirmada
3000177,2023-03-10,CH03,Agencia física,C0288,cliente0288@viajaya.es,Elena Navarro,No,Confirmada
3000178,2023-03-10,CH04,Partner,C0048,cliente0048@viajaya.es,Hugo Ruiz,Sí,Confirmada
3000179,2023-03-10,CH01,Web,C0571,cliente0571@viajaya.es,Bruno Hernández,No,Confirmada
3000180,2023-03-11,CH04,Partner,C0299,cliente0299@viajaya.es,Ana Navarro,Sí,Confirmada
3000181,2023-03-11,CH04,Partner,C0234,cliente0234@viajaya.es,Jorge Hernández,Sí,Confirmada
3000182,2023-03-11,CH01,Web,C0005,cliente0005@viajaya.es,Elena Díaz,No,Confirmada
3000183,2023-03-11,CH01,Web,C0645,cliente0645@viajaya.es,Sofía Hernández,No,Confirmada
3000184,2023-03-11,CH01,Web,C0121,cliente0121@viajaya.es,Ana Navarro,No,Confirmada
3000185,2023-03-12,CH02,Teléfono,C0077,cliente0077@viajaya.es,Hugo Romero,No,Confirmada
3000186,2023-03-12,CH02,Teléfono,C0183,cliente0183@viajaya.es,Marta Martín,Sí,Confirmada
3000187,2023-03-12,CH02,Teléfono,C0428,cliente0428@viajaya.es,Carla García,No,Confirmada
3000188,2023-03-13,CH03,Agencia física,C0561,cliente0561@viajaya.es,Ana López,No,Confirmada
3000189,2023-03-13,CH01,Web,C0108,cliente0108@viajaya.es,David Romero,Sí,Confirmada
3000190,2023-03-13,CH03,Agencia física,C0168,cliente0168@viajaya.es,Ana Sánchez,No,Confirmada
3000191,2023-03-13,CH01,Web,C0251,cliente0251@viajaya.es,Carla Pérez,No,Confirmada
3000192,2023-03-13,CH02,Teléfono,C0225,cliente0225@viajaya.es,Mario García,No,Confirmada
3000193,2023-03-14,CH02,Teléfono,C0242,cliente0242@viajaya.es,Mario Díaz,No,Confirmada
3000194,2023-03-14,CH03,Agencia física,C0380,cliente0380@viajaya.es,David Pérez,No,Confirmada
3000195,2023-03-14,CH02,Teléfono,C0163,cliente0163@viajaya.es,Mario Pérez,No,Confirmada
3000196,2023-03-14,CH04,Partner,C0331,cliente0331@viajaya.es,Sofía García,No,Confirmada
3000197,2023-03-15,CH02,Teléfono,C0086,cliente0086@viajaya.es,Elena Díaz,No,Confirmada
3000198,2023-03-15,CH01,Web,C0648,cliente0648@viajaya.es,Pablo Romero,Sí,Pendiente
3000199,2023-03-15,CH02,Teléfono,C0083,cliente0083@viajaya.es,Nuria Romero,Sí,Confirmada
3000200,2023-03-15,CH02,Teléfono,C0011,cliente0011@viajaya.es,Nuria Romero,Sí,Confirmada
3000201,2023-03-16,CH02,Teléfono,C0165,cliente0165@viajaya.es,Elena Ruiz,No,Confirmada
3000202,2023-03-16,CH04,Partner,C0593,cliente0593@viajaya.es,Ana Díaz,Sí,Pendiente
3000203,2023-03-16,CH02,Teléfono,C0036,cliente0036@viajaya.es,Lucía Romero,No,Confirmada
3000204,2023-03-16,CH03,Agencia física,C0467,cliente0467@viajaya.es,Jorge Navarro,No,Confirmada
3000205,2023-03-16,CH02,Teléfono,C0190,cliente0190@viajaya.es,Carla Hernández,No,Confirmada
3000206,2023-03-16,CH03,Agencia física,C0626,cliente0626@viajaya.es,Jorge Sánchez,Sí,Confirmada
3000207,2023-03-16,CH02,Teléfono,C0263,cliente0263@viajaya.es,Laura Pérez,No,Confirmada
3000208,2023-03-17,CH04,Partner,C0062,cliente0062@viajaya.es,Mario Díaz,Sí,Pendiente
3000209,2023-03-18,CH01,Web,C0003,cliente0003@viajaya.es,Mario Díaz,No,Confirmada
3000210,2023-03-18,CH02,Teléfono,C0572,cliente0572@viajaya.es,Marta Navarro,Sí,Confirmada
3000211,2023-03-18,CH02,Teléfono,C0134,cliente0134@viajaya.es,Hugo Sánchez,Sí,Confirmada
3000212,2023-03-18,CH01,Web,C0452,cliente0452@viajaya.es,Bruno Romero,Sí,Confirmada
3000213,2023-03-18,CH01,Web,C0101,cliente0101@viajaya.es,Pablo García,Sí,Confirmada
3000214,2023-03-19,CH02,Teléfono,C0123,cliente0123@viajaya.es,Ana García,No,Confirmada
3000215,2023-03-19,CH01,Web,C0280,cliente0280@viajaya.es,Bruno Hernández,Sí,Confirmada
3000216,2023-03-19,CH02,Teléfono,C0462,cliente0462@viajaya.es,Mario Martín,No,Confirmada
3000217,2023-03-20,CH01,Web,C0050,cliente0050@viajaya.es,David López,No,Confirmada
3000218,2023-03-20,CH04,Partner,C0534,cliente0534@viajaya.es,Pablo López,No,Confirmada
3000219,2023-03-20,CH04,Partner,C0069,cliente0069@viajaya.es,Mario Sánchez,Sí,Confirmada
3000220,2023-03-20,CH04,Partner,C0365,cliente0365@viajaya.es,Lucía López,Sí,Confirmada
3000221,2023-03-20,CH04,Partner,C0399,cliente0399@viajaya.es,Pablo Romero,No,Confirmada
3000222,2023-03-21,CH01,Web,C0525,cliente0525@viajaya.es,Jorge Ruiz,No,Confirmada
3000223,2023-03-22,CH01,Web,C0494,cliente0494@viajaya.es,Lucía García,No,Confirmada
3000224,2023-03-22,CH03,Agencia física,C0246,cliente0246@viajaya.es,David Hernández,No,Pendiente
3000225,2023-03-22,CH03,Agencia física,C0153,cliente0153@viajaya.es,Ana Sánchez,Sí,Confirmada
3000226,2023-03-22,CH03,Agencia física,C0501,cliente0501@viajaya.es,Sofía Pérez,Sí,Confirmada
3000227,2023-03-22,CH03,Agencia física,C0319,cliente0319@viajaya.es,Jorge Hernández,No,Pendiente
3000228,2023-03-22,CH02,Teléfono,C0148,cliente0148@viajaya.es,Laura Díaz,No,Confirmada
3000229,2023-03-22,CH02,Teléfono,C0031,cliente0031@viajaya.es,Laura Martín,No,Confirmada
3000230,2023-03-22,CH02,Teléfono,C0101,cliente0101@viajaya.es,Pablo García,Sí,Confirmada
3000231,2023-03-22,CH04,Partner,C0478,cliente0478@viajaya.es,Elena Ruiz,No,Pendiente
3000232,2023-03-22,CH03,Agencia física,C0436,cliente0436@viajaya.es,Marta Hernández,No,Confirmada
3000233,2023-03-23,CH03,Agencia física,C0254,cliente0254@viajaya.es,Mario Navarro,No,Confirmada
3000234,2023-03-23,CH03,Agencia física,C0096,cliente0096@viajaya.es,Bruno Díaz,Sí,Confirmada
3000235,2023-03-23,CH03,Agencia física,C0502,cliente0502@viajaya.es,David Sánchez,Sí,Confirmada
3000236,2023-03-23,CH01,Web,C0044,cliente0044@viajaya.es,Sofía García,Sí,Confirmada
3000237,2023-03-23,CH02,Teléfono,C0332,cliente0332@viajaya.es,Lucía López,Sí,Confirmada
3000238,2023-03-23,CH04,Partner,C0597,cliente0597@viajaya.es,Mario Navarro,No,Confirmada
3000239,2023-03-24,CH02,Teléfono,C0064,cliente0064@viajaya.es,Ana Hernández,Sí,Confirmada
3000240,2023-03-24,CH04,Partner,C0060,cliente0060@viajaya.es,Jorge Hernández,No,Confirmada
3000241,2023-03-24,CH03,Agencia física,C0103,cliente0103@viajaya.es,Elena López,No,Confirmada
3000242,2023-03-24,CH01,Web,C0490,cliente0490@viajaya.es,David Sánchez,Sí,Pendiente
3000243,2023-03-24,CH01,Web,C0121,cliente0121@viajaya.es,Ana Navarro,No,Pendiente
3000244,2023-03-24,CH02,Teléfono,C0573,cliente0573@viajaya.es,Pablo Martín,No,Confirmada
3000245,2023-03-25,CH01,Web,C0427,cliente0427@viajaya.es,Jorge Navarro,No,Pendiente
3000246,2023-03-25,CH01,Web,C0084,cliente0084@viajaya.es,Hugo Díaz,Sí,Confirmada
3000247,2023-03-25,CH02,Teléfono,C0476,cliente0476@viajaya.es,Carla Martín,No,Confirmada
3000248,2023-03-25,CH02,Teléfono,C0376,cliente0376@viajaya.es,Sofía Ruiz,No,Confirmada
3000249,2023-03-25,CH01,Web,C0549,cliente0549@viajaya.es,Laura Romero,Sí,Confirmada
3000250,2023-03-25,CH02,Teléfono,C0025,cliente0025@viajaya.es,Elena Pérez,No,Confirmada
3000251,2023-03-26,CH04,Partner,C0283,cliente0283@viajaya.es,Elena Navarro,No,Confirmada
3000252,2023-03-26,CH04,Partner,C0649,cliente0649@viajaya.es,Jorge García,No,Confirmada
3000253,2023-03-26,CH02,Teléfono,C0438,cliente0438@viajaya.es,Bruno Navarro,No,Confirmada
3000254,2023-03-27,CH02,Teléfono,C0144,cliente0144@viajaya.es,Carla Sánchez,No,Confirmada
3000255,2023-03-27,CH01,Web,C0256,cliente0256@viajaya.es,Ana García,Sí,Confirmada
3000256,2023-03-27,CH03,Agencia física,C0646,cliente0646@viajaya.es,Hugo Romero,No,Confirmada
3000257,2023-03-28,CH03,Agencia física,C0600,cliente0600@viajaya.es,Hugo Navarro,No,Confirmada
3000258,2023-03-28,CH01,Web,C0050,cliente0050@viajaya.es,David López,No,Confirmada
3000259,2023-03-28,CH04,Partner,C0531,cliente0531@viajaya.es,Ana Pérez,No,Confirmada
3000260,2023-03-28,CH04,Partner,C0088,cliente0088@viajaya.es,Ana Pérez,No,Confirmada
3000261,2023-03-29,CH01,Web,C0630,cliente0630@viajaya.es,Nuria García,No,Confirmada
