ClienteID,Email,Nombre,PaisResidencia,CiudadResidencia
CL00196,cliente00196@bancofaro.es,Ana Pérez,Francia,Zaragoza
CL00197,cliente00197@bancofaro.es,Sergio Ruiz,Portugal,Alicante
CL00198,cliente00198@bancofaro.es,Carla Romero,España,Madrid
CL00199,cliente00199@bancofaro.es,Lucía López,España,Alicante
CL00200,cliente00200@bancofaro.es,Carla Romero,Francia,Zaragoza
CL00201,cliente00201@bancofaro.es,Carla Hernández,España,Madrid
CL00202,cliente00202@bancofaro.es,Elena Pérez,España,Valencia
CL00203,cliente00203@bancofaro.es,Jorge Navarro,España,Zaragoza
CL00204,cliente00204@bancofaro.es,Carla Díaz,España,Bilbao
CL00205,cliente00205@bancofaro.es,Laura López,España,Barcelona
CL00206,cliente00206@bancofaro.es,Ana Romero,Francia,Alicante
CL00207,cliente00207@bancofaro.es,Nuria Romero,Francia,Madrid
CL00208,cliente00208@bancofaro.es,Lucía Ruiz,España,Sevilla
CL00209,cliente00209@bancofaro.es,Irene Martín,Francia,Sevilla
CL00210,cliente00210@bancofaro.es,Carla Navarro,España,Sevilla
CL00211,cliente00211@bancofaro.es,Irene Ruiz,España,Madrid
CL00212,cliente00212@bancofaro.es,Pablo Pérez,España,Madrid
CL00213,cliente00213@bancofaro.es,Pablo Romero,España,Málaga
CL00214,cliente00214@bancofaro.es,Lucía Ruiz,España,Alicante
CL00215,cliente00215@bancofaro.es,Bruno Romero,España,Barcelona
CL00216,cliente00216@bancofaro.es,Elena Sánchez,España,Sevilla
CL00217,cliente00217@bancofaro.es,Mario García,Reino Unido,Alicante
CL00218,cliente00218@bancofaro.es,Hugo Hernández,España,Valencia
CL00219,cliente00219@bancofaro.es,David Ruiz,España,Valencia
CL00220,cliente00220@bancofaro.es,Marta Martín,España,Madrid
CL00221,cliente00221@bancofaro.es,David Hernández,España,Sevilla
CL00222,cliente00222@bancofaro.es,Laura Pérez,España,Madrid
CL00223,cliente00223@bancofaro.es,Elena Martín,España,Valencia
CL00224,cliente00224@bancofaro.es,Sergio López,España,Valencia
CL00225,cliente00225@bancofaro.es,Marta Martín,España,Sevilla
CL00226,cliente00226@bancofaro.es,Carla Romero,España,Madrid
CL00227,cliente00227@bancofaro.es,Bruno Hernández,España,Madrid
CL00228,cliente00228@bancofaro.es,Nuria Pérez,España,Valencia
CL00229,cliente00229@bancofaro.es,Carla Martín,España,Valencia
CL00230,cliente00230@bancofaro.es,Pablo Hernández,España,Zaragoza
CL00231,cliente00231@bancofaro.es,Nuria Sánchez,España,Sevilla
CL00232,cliente00232@bancofaro.es,Pablo Romero,Portugal,Zaragoza
CL00233,cliente00233@bancofaro.es,Nuria Pérez,España,Madrid
CL00234,cliente00234@bancofaro.es,Pablo García,España,Málaga
CL00235,cliente00235@bancofaro.es,Nuria Díaz,Portugal,Alicante
CL00236,cliente00236@bancofaro.es,Carla Pérez,España,Sevilla
CL00237,cliente00237@bancofaro.es,Lucía Navarro,España,Bilbao
CL00238,cliente00238@bancofaro.es,Nuria López,España,Zaragoza
CL00239,cliente00239@bancofaro.es,Laura Ruiz,España,Málaga
CL00240,cliente00240@bancofaro.es,Carla Martín,España,Sevilla
CL00241,cliente00241@bancofaro.es,Lucía Romero,España,Valencia
CL00242,cliente00242@bancofaro.es,Pablo Pérez,Alemania,Bilbao
CL00243,cliente00243@bancofaro.es,Jorge Pérez,España,Sevilla
CL00244,cliente00244@bancofaro.es,Laura García,Italia,Madrid
CL00245,cliente00245@bancofaro.es,Carla Hernández,España,Zaragoza
CL00246,cliente00246@bancofaro.es,Sergio Díaz,España,Alicante
CL00247,cliente00247@bancofaro.es,Sofía Navarro,Alemania,Valencia
CL00248,cliente00248@bancofaro.es,Lucía Ruiz,España,Bilbao
CL00249,cliente00249@bancofaro.es,Bruno Hernández,España,Málaga
CL00250,cliente00250@bancofaro.es,Jorge Navarro,Francia,Barcelona
CL00251,cliente00251@bancofaro.es,Sofía Díaz,España,Málaga
CL00252,cliente00252@bancofaro.es,Laura Pérez,España,Valencia
CL00253,cliente00253@bancofaro.es,Lucía López,España,Barcelona
CL00254,cliente00254@bancofaro.es,Sofía Pérez,España,Alicante
CL00255,cliente00255@bancofaro.es,Mario García,España,Barcelona
CL00256,cliente00256@bancofaro.es,Elena Pérez,España,Barcelona
CL00257,cliente00257@bancofaro.es,Bruno López,España,Zaragoza
CL00258,cliente00258@bancofaro.es,Nuria Díaz,España,Barcelona
CL00259,cliente00259@bancofaro.es,Sofía Romero,España,Málaga
CL00260,cliente00260@bancofaro.es,Jorge Martín,Francia,Sevilla
CL00261,cliente00261@bancofaro.es,Carla García,España,Málaga
CL00262,cliente00262@bancofaro.es,Pablo Martín,Portugal,Sevilla
CL00263,cliente00263@bancofaro.es,Lucía Pérez,España,Madrid
CL00264,cliente00264@bancofaro.es,Sofía Pérez,España,Málaga
CL00265,cliente00265@bancofaro.es,Ana López,España,Málaga
CL00266,cliente00266@bancofaro.es,Carla Ruiz,España,Bilbao
CL00267,cliente00267@bancofaro.es,Hugo Martín,España,Zaragoza
CL00268,cliente00268@bancofaro.es,Sofía Navarro,España,Bilbao
CL00269,cliente00269@bancofaro.es,Carla López,España,Sevilla
CL00270,cliente00270@bancofaro.es,Nuria García,España,Sevilla
CL00271,cliente00271@bancofaro.es,Elena López,Italia,Málaga
CL00272,cliente00272@bancofaro.es,David Díaz,España,Zaragoza
CL00273,cliente00273@bancofaro.es,Sofía Ruiz,España,Sevilla
CL00274,cliente00274@bancofaro.es,Carla Romero,España,Alicante
CL00275,cliente00275@bancofaro.es,Nuria Ruiz,España,Madrid
CL00276,cliente00276@bancofaro.es,Hugo García,España,Alicante
CL00277,cliente00277@bancofaro.es,David Martín,España,Sevilla
CL00278,cliente00278@bancofaro.es,Hugo Ruiz,Portugal,Madrid
CL00279,cliente00279@bancofaro.es,Nuria López,España,Bilbao
CL00280,cliente00280@bancofaro.es,Laura Navarro,España,Bilbao
CL00281,cliente00281@bancofaro.es,Carla Díaz,España,Bilbao
CL00282,cliente00282@bancofaro.es,Mario Sánchez,España,Alicante
CL00283,cliente00283@bancofaro.es,Marta López,España,Valencia
CL00284,cliente00284@bancofaro.es,David García,España,Barcelona
CL00285,cliente00285@bancofaro.es,Elena Sánchez,España,Sevilla
CL00286,cliente00286@bancofaro.es,Elena López,Portugal,Málaga
CL00287,cliente00287@bancofaro.es,Mario López,Francia,Bilbao
CL00288,cliente00288@bancofaro.es,Jorge Ruiz,España,Zaragoza
CL00289,cliente00289@bancofaro.es,Marta Martín,España,Madrid
CL00290,cliente00290@bancofaro.es,Mario Martín,España,Barcelona
CL00291,cliente00291@bancofaro.es,Mario Sánchez,Reino Unido,Alicante
CL00292,cliente00292@bancofaro.es,Pablo López,España,Zaragoza
CL00293,cliente00293@bancofaro.es,Nuria Navarro,España,Sevilla
CL00294,cliente00294@bancofaro.es,Hugo Ruiz,España,Alicante
CL00295,cliente00295@bancofaro.es,Marta Martín,Reino Unido,Madrid
CL00296,cliente00296@bancofaro.es,Pablo Ruiz,España,Alicante
CL00297,cliente00297@bancofaro.es,Sofía Romero,España,Málaga
CL00298,cliente00298@bancofaro.es,Elena Romero,Italia,Barcelona
CL00299,cliente00299@bancofaro.es,Elena Ruiz,España,Valencia
CL00300,cliente00300@bancofaro.es,Bruno Pérez,España,Valencia
CL00301,cliente00301@bancofaro.es,Carla Martín,Francia,Valencia
CL00302,cliente00302@bancofaro.es,Elena Ruiz,Francia,Zaragoza
CL00303,cliente00303@bancofaro.es,Nuria López,España,Barcelona
CL00304,cliente00304@bancofaro.es,Ana Pérez,España,Madrid
CL00305,cliente00305@bancofaro.es,Ana Ruiz,España,Alicante
CL00306,cliente00306@bancofaro.es,Sofía Martín,España,Bilbao
CL00307,cliente00307@bancofaro.es,Ana Hernández,España,Zaragoza
CL00308,cliente00308@bancofaro.es,Jorge Sánchez,Italia,Málaga
CL00309,cliente00309@bancofaro.es,David Romero,Portugal,Valencia
CL00310,cliente00310@bancofaro.es,Elena Sánchez,España,Zaragoza
CL00311,cliente00311@bancofaro.es,Pablo Hernández,España,Valencia
CL00312,cliente00312@bancofaro.es,Sofía Romero,España,Barcelona
CL00313,cliente00313@bancofaro.es,Marta García,España,Málaga
CL00314,cliente00314@bancofaro.es,Sofía Sánchez,España,Valencia
CL00315,cliente00315@bancofaro.es,Laura Martín,España,Valencia
CL00316,cliente00316@bancofaro.es,Mario Martín,Francia,Madrid
CL00317,cliente00317@bancofaro.es,Hugo Pérez,Alemania,Madrid
CL00318,cliente00318@bancofaro.es,Laura García,España,Bilbao
CL00319,cliente00319@bancofaro.es,Hugo Díaz,España,Madrid
CL00320,cliente00320@bancofaro.es,Irene Navarro,España,Zaragoza
CL00321,cliente00321@bancofaro.es,Sofía Ruiz,Francia,Zaragoza
CL00322,cliente00322@bancofaro.es,Nuria García,España,Alicante
CL00323,cliente00323@bancofaro.es,Irene García,España,Málaga
CL00324,cliente00324@bancofaro.es,Lucía Pérez,España,Madrid
CL00325,cliente00325@bancofaro.es,Lucía Martín,España,Bilbao
CL00326,cliente00326@bancofaro.es,Sofía Martín,España,Bilbao
CL00327,cliente00327@bancofaro.es,Mario Romero,España,Sevilla
CL00328,cliente00328@bancofaro.es,Lucía López,España,Zaragoza
CL00329,cliente00329@bancofaro.es,Lucía López,Francia,Zaragoza
CL00330,cliente00330@bancofaro.es,Marta Sánchez,España,Zaragoza
CL00331,cliente00331@bancofaro.es,Sofía García,España,Madrid
CL00332,cliente00332@bancofaro.es,Ana López,España,Valencia
CL00333,cliente00333@bancofaro.es,David Díaz,España,Valencia
CL00334,cliente00334@bancofaro.es,David García,España,Málaga
CL00335,cliente00335@bancofaro.es,Lucía Díaz,España,Valencia
CL00336,cliente00336@bancofaro.es,Ana García,Alemania,Barcelona
CL00337,cliente00337@bancofaro.es,Elena Sánchez,España,Barcelona
CL00338,cliente00338@bancofaro.es,Sofía Romero,España,Barcelona
CL00339,cliente00339@bancofaro.es,Mario Díaz,España,Zaragoza
CL00340,cliente00340@bancofaro.es,Ana Romero,Italia,Alicante
CL00341,cliente00341@bancofaro.es,David Ruiz,Portugal,Málaga
CL00342,cliente00342@bancofaro.es,Sergio Pérez,España,Sevilla
CL00343,cliente00343@bancofaro.es,Ana Ruiz,España,Valencia
CL00344,cliente00344@bancofaro.es,Elena Romero,Portugal,Alicante
CL00345,cliente00345@bancofaro.es,Jorge Romero,España,Zaragoza
CL00346,cliente00346@bancofaro.es,Irene López,Alemania,Zaragoza
CL00347,cliente00347@bancofaro.es,Nuria López,España,Barcelona
CL00348,cliente00348@bancofaro.es,Nuria Díaz,España,Zaragoza
CL00349,cliente00349@bancofaro.es,Marta Ruiz,España,Málaga
CL00350,cliente00350@bancofaro.es,Bruno Ruiz,España,Bilbao
CL00351,cliente00351@bancofaro.es,Ana Pérez,Alemania,Valencia
CL00352,cliente00352@bancofaro.es,Hugo García,España,Málaga
CL00353,cliente00353@bancofaro.es,Mario Sánchez,España,Madrid
CL00354,cliente00354@bancofaro.es,Bruno Navarro,Francia,Málaga
CL00355,cliente00355@bancofaro.es,Hugo Sánchez,Portugal,Bilbao
CL00356,cliente00356@bancofaro.es,Ana Hernández,España,Madrid
CL00357,cliente00357@bancofaro.es,Pablo Sánchez,España,Zaragoza
CL00358,cliente00358@bancofaro.es,Ana García,España,Bilbao
CL00359,cliente00359@bancofaro.es,Sergio Martín,España,Madrid
CL00360,cliente00360@bancofaro.es,Pablo Pérez,Italia,Madrid
CL00361,cliente00361@bancofaro.es,Nuria García,España,Madrid
CL00362,cliente00362@bancofaro.es,Mario Hernández,Portugal,Málaga
CL00363,cliente00363@bancofaro.es,Jorge Ruiz,Italia,Bilbao
CL00364,cliente00364@bancofaro.es,Pablo Sánchez,España,Málaga
CL00365,cliente00365@bancofaro.es,Irene Martín,España,Zaragoza
CL00366,cliente00366@bancofaro.es,Sergio Hernández,España,Málaga
CL00367,cliente00367@bancofaro.es,Carla Pérez,España,Valencia
CL00368,cliente00368@bancofaro.es,David Romero,España,Madrid
CL00369,cliente00369@bancofaro.es,Mario Sánchez,España,Zaragoza
CL00370,cliente00370@bancofaro.es,Irene Pérez,España,Zaragoza
CL00371,cliente00371@bancofaro.es,Marta Díaz,España,Madrid
CL00372,cliente00372@bancofaro.es,Sofía Martín,España,Málaga
CL00373,cliente00373@bancofaro.es,Sergio Hernández,España,Sevilla
CL00374,cliente00374@bancofaro.es,Mario García,España,Zaragoza
CL00375,cliente00375@bancofaro.es,Pablo Sánchez,Portugal,Alicante
CL00376,cliente00376@bancofaro.es,Mario Navarro,España,Sevilla
CL00377,cliente00377@bancofaro.es,Sergio Hernández,España,Málaga
CL00378,cliente00378@bancofaro.es,Carla García,España,Sevilla
CL00379,cliente00379@bancofaro.es,Ana Sánchez,Francia,Málaga
CL00380,cliente00380@bancofaro.es,David Hernández,Portugal,Alicante
CL00381,cliente00381@bancofaro.es,Marta Sánchez,España,Alicante
CL00382,cliente00382@bancofaro.es,Bruno Díaz,España,Sevilla
CL00383,cliente00383@bancofaro.es,Bruno Hernández,Italia,Málaga
CL00384,cliente00384@bancofaro.es,Sofía López,España,Sevilla
CL00385,cliente00385@bancofaro.es,Bruno Hernández,España,Sevilla
CL00386,cliente00386@bancofaro.es,Mario Romero,España,Madrid
CL00387,cliente00387@bancofaro.es,Sofía Ruiz,España,Alicante
CL00388,cliente00388@bancofaro.es,Irene Pérez,Alemania,Sevilla
CL00389,cliente00389@bancofaro.es,Lucía García,España,Alicante
CL00390,cliente00390@bancofaro.es,Marta Pérez,España,Sevilla
CL00391,cliente00391@bancofaro.es,Carla Romero,España,Málaga
CL00392,cliente00392@bancofaro.es,Carla Romero,España,Sevilla
CL00393,cliente00393@bancofaro.es,Irene Díaz,España,Bilbao
CL00394,cliente00394@bancofaro.es,Lucía Díaz,España,Bilbao
CL00395,cliente00395@bancofaro.es,Mario Díaz,España,Alicante
CL00396,cliente00396@bancofaro.es,Jorge Ruiz,España,Málaga
CL00397,cliente00397@bancofaro.es,Nuria Pérez,España,Bilbao
