PedidoID,FechaPedido,Canal,Tienda,ClienteEmail,ClienteNombre,CiudadEnvio,MetodoPago,EstadoPedido
1000031,2023-02-05,Online,-,cliente0216@nordco.es,Sara Pérez,Málaga,Apple Pay,Entregado
1000032,2023-02-05,Fisico,Gran Via,cliente0126@nordco.es,Elena Martín,Madrid,Tarjeta,Entregado
1000033,2023-02-05,Fisico,Diagonal,cliente0444@nordco.es,Jorge García,Barcelona,Tarjeta,Entregado
1000034,2023-02-05,Online,-,cliente0064@nordco.es,Ana López,Valencia,Apple Pay,Entregado
1000035,2023-02-05,Online,-,cliente0231@nordco.es,Elena López,Alicante,ContraReembolso,Entregado
1000036,2023-02-05,Online,-,cliente0074@nordco.es,Ana Hernández,Alicante,Google Pay,Cancelado
1000037,2023-02-06,Online,-,cliente0242@nordco.es,Jorge Ruiz,Zaragoza,Tarjeta,Entregado
1000038,2023-02-06,Fisico,Diagonal,cliente0446@nordco.es,Mario Martín,Barcelona,Tarjeta,Entregado
1000039,2023-02-06,Online,-,cliente0138@nordco.es,Sara Pérez,Sevilla,Tarjeta,Entregado
1000040,2023-02-07,Online,-,cliente0237@nordco.es,Hugo García,Barcelona,Google Pay,Entregado
1000041,2023-02-07,Online,-,cliente0126@nordco.es,Elena Martín,Sevilla,Tarjeta,Entregado
1000042,2023-02-07,Online,-,cliente0031@nordco.es,Pablo Sánchez,Alicante,Tarjeta,Entregado
1000043,2023-02-07,Online,-,cliente0121@nordco.es,Sofía Pérez,Málaga,PayPal,Entregado
1000044,2023-02-07,Online,-,cliente0306@nordco.es,Jorge López,Sevilla,Google Pay,Entregado
1000045,2023-02-07,Fisico,Triana,cliente0227@nordco.es,Sofía Martín,Sevilla,Bizum,Entregado
1000046,2023-02-07,Fisico,Gran Via,cliente0160@nordco.es,Elena Díaz,Madrid,Tarjeta,Entregado
1000047,2023-02-07,Online,-,cliente0240@nordco.es,Bruno Ruiz,Málaga,Tarjeta,Entregado
1000048,2023-02-07,Online,-,cliente0283@nordco.es,Pablo Ruiz,Barcelona,Apple Pay,Entregado
1000049,2023-02-08,Online,-,cliente0300@nordco.es,Sara López,Málaga,PayPal,Entregado
1000050,2023-02-08,Online,-,cliente0111@nordco.es,Marta Pérez,Madrid,Tarjeta,Entregado
1000051,2023-02-08,Online,-,cliente0186@nordco.es,Ana Martín,Bilbao,Google Pay,Entregado
1000052,2023-02-08,Online,-,cliente0371@nordco.es,Hugo Díaz,Sevilla,ContraReembolso,Entregado
1000053,2023-02-08,Online,-,cliente0265@nordco.es,Sofía Navarro,Valencia,Bizum,Entregado
1000054,2023-02-08,Online,-,cliente0190@nordco.es,Mario Pérez,Bilbao,Tarjeta,Entregado
1000055,2023-02-09,Fisico,Gran Via,cliente0437@nordco.es,David Romero,Madrid,Tarjeta,Entregado
1000056,2023-02-09,Online,-,cliente0146@nordco.es,Hugo Ruiz,Zaragoza,Tarjeta,Entregado
1000057,2023-02-09,Fisico,Sol,cliente0267@nordco.es,Nuria Navarro,Madrid,Tarjeta,Entregado
1000058,2023-02-09,Fisico,Gran Via,cliente0201@nordco.es,Lucía Romero,Madrid,Tarjeta,Entregado
1000059,2023-02-09,Online,-,cliente0329@nordco.es,Elena Díaz,Valencia,Tarjeta,Entregado
1000060,2023-02-09,Online,-,cliente0350@nordco.es,Pablo López,Valencia,Tarjeta,Entregado
1000061,2023-02-09,Online,-,cliente0121@nordco.es,Sofía Pérez,Sevilla,Tarjeta,Devuelto
1000062,2023-02-09,Online,-,cliente0413@nordco.es,Sara García,Alicante,PayPal,Entregado
1000063,2023-02-09,Online,-,cliente0264@nordco.es,Lucía García,Valencia,Bizum,Entregado
1000064,2023-02-09,Fisico,Diagonal,cliente0094@nordco.es,Lucía Díaz,Barcelona,Tarjeta,Entregado
1000065,2023-02-09,Online,-,cliente0138@nordco.es,Sara Pérez,Valencia,PayPal,Entregado
1000066,2023-02-09,Online,-,cliente0427@nordco.es,Marta Díaz,Madrid,Tarjeta,Entregado
1000067,2023-02-10,Online,-,cliente0392@nordco.es,Marta Navarro,Málaga,Tarjeta,Entregado
1000068,2023-02-10,Online,-,cliente0010@nordco.es,Lucía López,Zaragoza,Tarjeta,Entregado
1000069,2023-02-11,Online,-,cliente0287@nordco.es,David López,Bilbao,Tarjeta,Entregado
1000070,2023-02-11,Online,-,cliente0142@nordco.es,Nuria Hernández,Bilbao,Tarjeta,Entregado
1000071,2023-02-11,Online,-,cliente0139@nordco.es,Sara Pérez,Barcelona,Tarjeta,Entregado
1000072,2023-02-11,Fisico,Gran Via,cliente0393@nordco.es,Jorge Hernández,Madrid,Tarjeta,Entregado
1000073,2023-02-11,Online,-,cliente0416@nordco.es,Claudia Ruiz,Bilbao,Google Pay,Entregado
1000074,2023-02-11,Fisico,Diagonal,cliente0172@nordco.es,Sara Navarro,Barcelona,Tarjeta,Entregado
1000075,2023-02-11,Online,-,cliente0074@nordco.es,Ana Hernández,Valencia,Tarjeta,Entregado
1000076,2023-02-11,Fisico,Sol,cliente0011@nordco.es,Sara Ruiz,Madrid,Apple Pay,Entregado
1000077,2023-02-11,Fisico,Gran Via,cliente0347@nordco.es,David Romero,Madrid,Tarjeta,Devuelto
1000078,2023-02-11,Online,-,cliente0224@nordco.es,Sofía Romero,Alicante,PayPal,Entregado
1000079,2023-02-11,Online,-,cliente0271@nordco.es,Claudia Sánchez,Madrid,PayPal,Entregado
1000080,2023-02-11,Fisico,Colón,cliente0027@nordco.es,Mario Pérez,Valencia,Apple Pay,Entregado
1000081,2023-02-11,Online,-,cliente0444@nordco.es,Jorge García,Madrid,Tarjeta,Entregado
1000082,2023-02-12,Fisico,Sol,cliente0427@nordco.es,Marta Díaz,Madrid,Tarjeta,Entregado
1000083,2023-02-12,Online,-,cliente0359@nordco.es,Lucía Navarro,Zaragoza,Tarjeta,Entregado
1000084,2023-02-12,Fisico,Colón,cliente0022@nordco.es,Elena Navarro,Valencia,Tarjeta,Entregado
1000085,2023-02-12,Fisico,Colón,cliente0143@nordco.es,Sofía Navarro,Valencia,Tarjeta,Entregado
1000086,2023-02-12,Fisico,Colón,cliente0328@nordco.es,Sara Pérez,Valencia,Tarjeta,Entregado
1000087,2023-02-12,Fisico,Sol,cliente0008@nordco.es,Hugo López,Madrid,Tarjeta,Entregado
1000088,2023-02-12,Online,-,cliente0418@nordco.es,Marta García,Zaragoza,Google Pay,Entregado
1000089,2023-02-12,Fisico,Gran Via,cliente0405@nordco.es,Hugo García,Madrid,Tarjeta,Entregado
1000090,2023-02-13,Fisico,Triana,cliente0203@nordco.es,Jorge Hernández,Sevilla,Tarjeta,Entregado
1000091,2023-02-13,Online,-,cliente0190@nordco.es,Mario Pérez,Madrid,Apple Pay,Devuelto
1000092,2023-02-13,Online,-,cliente0151@nordco.es,Sofía Hernández,Bilbao,Tarjeta,Entregado
1000093,2023-02-13,Fisico,Triana,cliente0080@nordco.es,Sofía Hernández,Sevilla,Tarjeta,Entregado
1000094,2023-02-13,Fisico,Gran Via,cliente0377@nordco.es,Claudia García,Madrid,Bizum,Entregado
1000095,2023-02-14,Online,-,cliente0041@nordco.es,Claudia Navarro,Bilbao,Tarjeta,Entregado
1000096,2023-02-14,Online,-,cliente0137@nordco.es,Claudia Hernández,Bilbao,Bizum,Entregado
1000097,2023-02-14,Online,-,cliente0026@nordco.es,Sofía Martín,Barcelona,Tarjeta,Entregado
1000098,2023-02-14,Fisico,Diagonal,cliente0017@nordco.es,Bruno Ruiz,Barcelona,Tarjeta,Entregado
1000099,2023-02-14,Fisico,Gran Via,cliente0004@nordco.es,Bruno Hernández,Madrid,PayPal,Entregado
1000100,2023-02-14,Online,-,cliente0061@nordco.es,Claudia Sánchez,Alicante,Tarjeta,Entregado
1000101,2023-02-14,Fisico,Diagonal,cliente0206@nordco.es,Sara Díaz,Barcelona,Tarjeta,Entregado
1000102,2023-02-14,Online,-,cliente0404@nordco.es,Claudia Martín,Valencia,Tarjeta,Entregado
1000103,2023-02-14,Online,-,cliente0226@nordco.es,Hugo Sánchez,Barcelona,PayPal,Entregado
1000104,2023-02-14,Fisico,Colón,cliente0159@nordco.es,Sofía García,Valencia,PayPal,Entregado
1000105,2023-02-14,Fisico,Gran Via,cliente0080@nordco.es,Sofía Hernández,Madrid,Apple Pay,Entregado
1000106,2023-02-15,Online,-,cliente0262@nordco.es,Sofía Díaz,Málaga,Bizum,Entregado
1000107,2023-02-15,Online,-,cliente0184@nordco.es,Claudia López,Alicante,Bizum,Entregado
1000108,2023-02-15,Online,-,cliente0411@nordco.es,Claudia Hernández,Barcelona,ContraReembolso,Entregado
1000109,2023-02-15,Fisico,Gran Via,cliente0348@nordco.es,Hugo Sánchez,Madrid,Tarjeta,Entregado
1000110,2023-02-15,Online,-,cliente0392@nordco.es,Marta Navarro,Alicante,Tarjeta,Entregado
1000111,2023-02-15,Online,-,cliente0299@nordco.es,Hugo García,Sevilla,Tarjeta,Cancelado
1000112,2023-02-15,Fisico,Diagonal,cliente0057@nordco.es,Pablo López,Barcelona,Tarjeta,Entregado
1000113,2023-02-15,Fisico,Triana,cliente0078@nordco.es,David Navarro,Sevilla,Apple Pay,Entregado
1000114,2023-02-15,Online,-,cliente0328@nordco.es,Sara Pérez,Sevilla,Tarjeta,Entregado
1000115,2023-02-15,Online,-,cliente0053@nordco.es,Sofía Navarro,Madrid,Google Pay,Devuelto
1000116,2023-02-15,Fisico,Gran Via,cliente0073@nordco.es,Sara Pérez,Madrid,Tarjeta,Entregado
1000117,2023-02-16,Online,-,cliente0132@nordco.es,Hugo Martín,Bilbao,Tarjeta,Entregado
1000118,2023-02-16,Fisico,Gran Via,cliente0056@nordco.es,Jorge García,Madrid,Tarjeta,Entregado
1000119,2023-02-16,Fisico,Sol,cliente0135@nordco.es,David Díaz,Madrid,Tarjeta,Entregado
1000120,2023-02-16,Online,-,cliente0402@nordco.es,Jorge Sánchez,Sevilla,Apple Pay,Entregado
1000121,2023-02-16,Fisico,Sol,cliente0277@nordco.es,Ana Hernández,Madrid,Tarjeta,Entregado
1000122,2023-02-16,Fisico,Colón,cliente0070@nordco.es,Claudia Hernández,Valencia,Tarjeta,Entregado
1000123,2023-02-16,Online,-,cliente0027@nordco.es,Mario Pérez,Madrid,Tarjeta,Entregado
1000124,2023-02-16,Fisico,Diagonal,cliente0176@nordco.es,Sofía Romero,Barcelona,Tarjeta,Entregado
1000125,2023-02-16,Fisico,Diagonal,cliente0347@nordco.es,David Romero,Barcelona,Tarjeta,Entregado
1000126,2023-02-16,Fisico,Triana,cliente0135@nordco.es,David Díaz,Sevilla,Google Pay,Entregado
1000127,2023-02-16,Online,-,cliente0327@nordco.es,Marta Navarro,Zaragoza,PayPal,Entregado
1000128,2023-02-17,Online,-,cliente0011@nordco.es,Sara Ruiz,Sevilla,Tarjeta,Entregado
1000129,2023-02-17,Online,-,cliente0132@nordco.es,Hugo Martín,Alicante,Tarjeta,Entregado
1000130,2023-02-17,Fisico,Diagonal,cliente0121@nordco.es,Sofía Pérez,Barcelona,PayPal,Entregado
1000131,2023-02-17,Fisico,Triana,cliente0334@nordco.es,Claudia Martín,Sevilla,Tarjeta,Entregado
1000132,2023-02-17,Online,-,cliente0255@nordco.es,Nuria Martín,Zaragoza,PayPal,Entregado
1000133,2023-02-17,Online,-,cliente0121@nordco.es,Sofía Pérez,Madrid,PayPal,Entregado
1000134,2023-02-17,Fisico,Colón,cliente0440@nordco.es,Pablo Hernández,Valencia,Tarjeta,Entregado
1000135,2023-02-17,Fisico,Diagonal,cliente0366@nordco.es,David López,Barcelona,Tarjeta,Entregado
1000136,2023-02-17,Fisico,Gran Via,cliente0342@nordco.es,Hugo Martín,Madrid,Tarjeta,Entregado
1000137,2023-02-18,Fisico,Triana,cliente0333@nordco.es,David Romero,Sevilla,Tarjeta,Entregado
1000138,2023-02-18,Online,-,cliente0328@nordco.es,Sara Pérez,Alicante,Google Pay,Entregado
1000139,2023-02-18,Fisico,Triana,cliente0221@nordco.es,Lucía Martín,Sevilla,Tarjeta,Entregado
1000140,2023-02-18,Fisico,Diagonal,cliente0273@nordco.es,Claudia García,Barcelona,Google Pay,Entregado
1000141,2023-02-18,Online,-,cliente0204@nordco.es,Hugo López,Zaragoza,Tarjeta,Entregado
1000142,2023-02-18,Fisico,Gran Via,cliente0063@nordco.es,Lucía Martín,Madrid,Tarjeta,Entregado
1000143,2023-02-19,Online,-,cliente0094@nordco.es,Lucía Díaz,Sevilla,Bizum,Entregado
1000144,2023-02-19,Online,-,cliente0362@nordco.es,Claudia García,Madrid,Tarjeta,Entregado
1000145,2023-02-19,Online,-,cliente0207@nordco.es,Pablo Díaz,Alicante,Tarjeta,Entregado
1000146,2023-02-19,Fisico,Diagonal,cliente0327@nordco.es,Marta Navarro,Barcelona,Tarjeta,Entregado
1000147,2023-02-19,Online,-,cliente0363@nordco.es,Lucía Sánchez,Barcelona,Tarjeta,Entregado
1000148,2023-02-19,Online,-,cliente0321@nordco.es,Marta García,Alicante,Apple Pay,Entregado
1000149,2023-02-19,Online,-,cliente0223@nordco.es,Sara Martín,Alicante,Tarjeta,Entregado
1000150,2023-02-19,Fisico,Sol,cliente0443@nordco.es,Ana García,Madrid,Tarjeta,Cancelado
1000151,2023-02-19,Fisico,Colón,cliente0035@nordco.es,David Pérez,Valencia,PayPal,Entregado
1000152,2023-02-19,Fisico,Triana,cliente0012@nordco.es,Hugo Martín,Sevilla,Tarjeta,Entregado
1000153,2023-02-20,Fisico,Gran Via,cliente0311@nordco.es,Bruno Romero,Madrid,Tarjeta,Entregado
1000154,2023-02-20,Fisico,Sol,cliente0195@nordco.es,Ana Navarro,Madrid,Bizum,Entregado
1000155,2023-02-20,Online,-,cliente0061@nordco.es,Claudia Sánchez,Madrid,Apple Pay,Entregado
1000156,2023-02-20,Fisico,Diagonal,cliente0441@nordco.es,Ana Sánchez,Barcelona,Tarjeta,Entregado
1000157,2023-02-20,Fisico,Diagonal,cliente0015@nordco.es,Mario López,Barcelona,Tarjeta,Entregado
1000158,2023-02-20,Fisico,Colón,cliente0090@nordco.es,Claudia Pérez,Valencia,ContraReembolso,Entregado
1000159,2023-02-21,Online,-,cliente0253@nordco.es,Sara Ruiz,Sevilla,Bizum,Entregado
1000160,2023-02-21,Online,-,cliente0214@nordco.es,Sofía Romero,Barcelona,Tarjeta,Entregado
1000161,2023-02-21,Online,-,cliente0114@nordco.es,Mario Ruiz,Bilbao,PayPal,Entregado
1000162,2023-02-21,Online,-,cliente0304@nordco.es,Sara Díaz,Málaga,Tarjeta,Entregado
1000163,2023-02-21,Online,-,cliente0355@nordco.es,Hugo López,Alicante,Bizum,Entregado
1000164,2023-02-21,Online,-,cliente0189@nordco.es,Hugo Martín,Sevilla,Apple Pay,Entregado
1000165,2023-02-21,Online,-,cliente0020@nordco.es,Ana Hernández,Bilbao,Apple Pay,Entregado
1000166,2023-02-22,Fisico,Sol,cliente0229@nordco.es,Nuria Martín,Madrid,PayPal,Entregado
1000167,2023-02-22,Fisico,Gran Via,cliente0379@nordco.es,Claudia Pérez,Madrid,Tarjeta,Entregado
1000168,2023-02-22,Online,-,cliente0139@nordco.es,Sara Pérez,Bilbao,Apple Pay,Entregado
1000169,2023-02-22,Fisico,Colón,cliente0368@nordco.es,Nuria Ruiz,Valencia,Tarjeta,Entregado
1000170,2023-02-22,Online,-,cliente0286@nordco.es,Bruno Ruiz,Zaragoza,Tarjeta,Entregado
1000171,2023-02-22,Online,-,cliente0067@nordco.es,Sara Martín,Madrid,Tarjeta,Entregado
1000172,2023-02-22,Online,-,cliente0072@nordco.es,Nuria Pérez,Madrid,Apple Pay,Entregado
1000173,2023-02-23,Online,-,cliente0291@nordco.es,Jorge García,Málaga,Bizum,Entregado
1000174,2023-02-23,Fisico,Colón,cliente0404@nordco.es,Claudia Martín,Valencia,PayPal,Entregado
1000175,2023-02-23,Online,-,cliente0385@nordco.es,Bruno Pérez,Sevilla,Google Pay,Entregado
1000176,2023-02-23,Fisico,Triana,cliente0296@nordco.es,Marta Romero,Sevilla,Apple Pay,Entregado
1000177,2023-02-24,Online,-,cliente0068@nordco.es,Marta García,Barcelona,Bizum,Entregado
1000178,2023-02-24,Online,-,cliente0342@nordco.es,Hugo Martín,Alicante,Apple Pay,Cancelado
1000179,2023-02-24,Online,-,cliente0376@nordco.es,Nuria Ruiz,Zaragoza,Tarjeta,Entregado
1000180,2023-02-24,Online,-,cliente0411@nordco.es,Claudia Hernández,Sevilla,Tarjeta,Entregado
1000181,2023-02-24,Online,-,cliente0280@nordco.es,Sara Ruiz,Valencia,Bizum,Entregado
1000182,2023-02-24,Fisico,Gran Via,cliente0329@nordco.es,Elena Díaz,Madrid,PayPal,Entregado
1000183,2023-02-24,Online,-,cliente0062@nordco.es,Bruno Hernández,Zaragoza,Tarjeta,Entregado
1000184,2023-02-24,Fisico,Diagonal,cliente0147@nordco.es,Claudia Sánchez,Barcelona,Tarjeta,Entregado
1000185,2023-02-24,Online,-,cliente0262@nordco.es,Sofía Díaz,Valencia,Tarjeta,Entregado
1000186,2023-02-25,Online,-,cliente0412@nordco.es,Pablo Romero,Málaga,Tarjeta,Devuelto
1000187,2023-02-25,Online,-,cliente0051@nordco.es,Pablo Pérez,Málaga,PayPal,Entregado
1000188,2023-02-25,Fisico,Gran Via,cliente0087@nordco.es,Ana Díaz,Madrid,Tarjeta,Entregado
1000189,2023-02-25,Online,-,cliente0145@nordco.es,Sara Ruiz,Madrid,Google Pay,Entregado
1000190,2023-02-25,Online,-,cliente0425@nordco.es,Marta Pérez,Sevilla,Tarjeta,Entregado
1000191,2023-02-25,Online,-,cliente0235@nordco.es,Sofía Hernández,Valencia,PayPal,Entregado
1000192,2023-02-25,Fisico,Triana,cliente0381@nordco.es,Lucía Romero,Sevilla,Tarjeta,Entregado
1000193,2023-02-25,Fisico,Colón,cliente0187@nordco.es,Hugo Sánchez,Valencia,Tarjeta,Entregado
1000194,2023-02-26,Online,-,cliente0211@nordco.es,Nuria Ruiz,Zaragoza,Bizum,Entregado
1000195,2023-02-26,Fisico,Colón,cliente0349@nordco.es,Lucía Pérez,Valencia,PayPal,Entregado
1000196,2023-02-26,Fisico,Triana,cliente0323@nordco.es,Ana López,Sevilla,Tarjeta,Entregado
1000197,2023-02-26,Fisico,Gran Via,cliente0108@nordco.es,Claudia López,Madrid,PayPal,Entregado
1000198,2023-02-26,Fisico,Triana,cliente0284@nordco.es,Nuria Martín,Sevilla,Tarjeta,Entregado
1000199,2023-02-26,Online,-,cliente0091@nordco.es,Sara Martín,Barcelona,PayPal,Entregado
1000200,2023-02-26,Online,-,cliente0041@nordco.es,Claudia Navarro,Bilbao,Bizum,Entregado
1000201,2023-02-27,Fisico,Triana,cliente0292@nordco.es,Bruno Ruiz,Sevilla,ContraReembolso,Entregado
1000202,2023-02-27,Online,-,cliente0239@nordco.es,Jorge Sánchez,Valencia,Tarjeta,Entregado
1000203,2023-02-27,Online,-,cliente0332@nordco.es,Nuria García,Bilbao,Bizum,Entregado
1000204,2023-02-27,Online,-,cliente0306@nordco.es,Jorge López,Valencia,Tarjeta,Entregado
1000205,2023-02-27,Fisico,Sol,cliente0331@nordco.es,Jorge Romero,Madrid,Tarjeta,Entregado
1000206,2023-02-28,Online,-,cliente0332@nordco.es,Nuria García,Bilbao,Apple Pay,Entregado
1000207,2023-02-28,Online,-,cliente0291@nordco.es,Jorge García,Zaragoza,PayPal,Entregado
1000208,2023-02-28,Online,-,cliente0403@nordco.es,Mario Sánchez,Bilbao,Tarjeta,Entregado
1000209,2023-02-28,Fisico,Diagonal,cliente0023@nordco.es,David García,Barcelona,Tarjeta,Entregado
1000210,2023-02-28,Online,-,cliente0103@nordco.es,Lucía García,Zaragoza,Google Pay,Entregado
1000211,2023-02-28,Online,-,cliente0444@nordco.es,Jorge García,Málaga,ContraReembolso,Entregado
1000212,2023-02-28,Online,-,cliente0207@nordco.es,Pablo Díaz,Sevilla,Bizum,Entregado
1000213,2023-02-28,Online,-,cliente0189@nordco.es,Hugo Martín,Bilbao,Tarjeta,Entregado
1000214,2023-03-01,Online,-,cliente0081@nordco.es,Marta Díaz,Bilbao,Tarjeta,Entregado
1000215,2023-03-01,Online,-,cliente0206@nordco.es,Sara Díaz,Barcelona,Bizum,Entregado
1000216,2023-03-01,Fisico,Sol,cliente0346@nordco.es,Ana Ruiz,Madrid,Tarjeta,Devuelto
1000217,2023-03-01,Fisico,Diagonal,cliente0420@nordco.es,Claudia Hernández,Barcelona,Apple Pay,Entregado
1000218,2023-03-01,Online,-,cliente0375@nordco.es,Lucía Navarro,Alicante,Google Pay,Entregado
1000219,2023-03-01,Online,-,cliente0065@nordco.es,Nuria Hernández,Alicante,Tarjeta,Entregado
1000220,2023-03-01,Online,-,cliente0010@nordco.es,Lucía López,Bilbao,Google Pay,Entregado
1000221,2023-03-02,Fisico,Gran Via,cliente0125@nordco.es,Sofía Ruiz,Madrid,Tarjeta,Entregado
1000222,2023-03-02,Fisico,Sol,cliente0076@nordco.es,Claudia Hernández,Madrid,Tarjeta,Devuelto
1000223,2023-03-02,Online,-,cliente0375@nordco.es,Lucía Navarro,Barcelona,Google Pay,Entregado
1000224,2023-03-02,Online,-,cliente0438@nordco.es,Lucía Sánchez,Alicante,PayPal,Entregado
1000225,2023-03-03,Online,-,cliente0081@nordco.es,Marta Díaz,Barcelona,Tarjeta,Entregado
1000226,2023-03-03,Fisico,Gran Via,cliente0344@nordco.es,Hugo Díaz,Madrid,Apple Pay,Entregado
1000227,2023-03-03,Fisico,Triana,cliente0249@nordco.es,Jorge Ruiz,Sevilla,ContraReembolso,Devuelto
1000228,2023-03-03,Fisico,Triana,cliente0108@nordco.es,Claudia López,Sevilla,Tarjeta,Entregado
1000229,2023-03-03,Fisico,Colón,cliente0162@nordco.es,Ana Díaz,Valencia,Tarjeta,Entregado
1000230,2023-03-03,Online,-,cliente0174@nordco.es,Ana Díaz,Madrid,PayPal,Entregado
1000231,2023-03-03,Fisico,Diagonal,cliente0034@nordco.es,Claudia Pérez,Barcelona,Tarjeta,Entregado
1000232,2023-03-03,Online,-,cliente0198@nordco.es,Hugo Navarro,Alicante,ContraReembolso,Entregado
1000233,2023-03-03,Online,-,cliente0382@nordco.es,Jorge Ruiz,Sevilla,Google Pay,Entregado
1000234,2023-03-04,Fisico,Colón,cliente0015@nordco.es,Mario López,Valencia,Tarjeta,Entregado
1000235,2023-03-04,Online,-,cliente0443@nordco.es,Ana García,Bilbao,Tarjeta,Entregado
1000236,2023-03-04,Online,-,cliente0385@nordco.es,Bruno Pérez,Barcelona,Google Pay,Entregado
1000237,2023-03-04,Fisico,Diagonal,cliente0140@nordco.es,Lucía Díaz,Barcelona,Tarjeta,Entregado
1000238,2023-03-04,Online,-,cliente0157@nordco.es,Marta Romero,Zaragoza,ContraReembolso,Entregado
1000239,2023-03-04,Online,-,cliente0120@nordco.es,David Pérez,Valencia,Tarjeta,Entregado
1000240,2023-03-04,Online,-,cliente0445@nordco.es,Mario Martín,Zaragoza,Tarjeta,Entregado
1000241,2023-03-04,Online,-,cliente0029@nordco.es,Nuria Ruiz,Bilbao,Tarjeta,Entregado
1000242,2023-03-05,Fisico,Sol,cliente0356@nordco.es,Nuria García,Madrid,Tarjeta,Cancelado
1000243,2023-03-05,Online,-,cliente0271@nordco.es,Claudia Sánchez,Madrid,Tarjeta,Devuelto
1000244,2023-03-05,Online,-,cliente0071@nordco.es,Elena Sánchez,Madrid,Tarjeta,Entregado
1000245,2023-03-05,Online,-,cliente0324@nordco.es,Bruno López,Madrid,Apple Pay,Entregado
1000246,2023-03-05,Online,-,cliente0394@nordco.es,David Martín,Málaga,Apple Pay,Devuelto
1000247,2023-03-05,Fisico,Colón,cliente0419@nordco.es,David Pérez,Valencia,Tarjeta,Entregado
1000248,2023-03-05,Online,-,cliente0422@nordco.es,Sara García,Málaga,Tarjeta,Entregado
1000249,2023-03-05,Online,-,cliente0313@nordco.es,Mario Romero,Barcelona,Tarjeta,Entregado
1000250,2023-03-05,Online,-,cliente0210@nordco.es,Mario Martín,Zaragoza,Apple Pay,Entregado
1000251,2023-03-06,Online,-,cliente0180@nordco.es,Lucía Hernández,Madrid,PayPal,Entregado
1000252,2023-03-06,Online,-,cliente0159@nordco.es,Sofía García,Madrid,Bizum,Entregado
