CuentaID,IBAN,ClienteID,TipoCuenta,FechaApertura
AC00048,ES10850020819075233060,CL00831,Corriente,2024-11-26
AC00049,ES73891680738913071452,CL00482,Ahorro,2025-12-26
AC00050,ES14726806006580094519,CL00515,Corriente,2025-06-04
AC00051,ES30750086345647404471,CL00602,Corriente,2025-07-14
AC00052,ES54545326231254963573,CL00069,Nómina,2023-04-09
AC00053,ES50430562026029821794,CL00301,Ahorro,2023-07-07
AC00054,ES37236372972522426384,CL00693,Ahorro,2025-08-13
AC00055,ES78531504810251010529,CL00199,Corriente,2025-06-03
AC00056,ES26721611896585499959,CL00204,Corriente,2025-01-26
AC00057,ES95110662788407798347,CL00582,Nómina,2024-07-06
AC00058,ES68614267816689564395,CL00614,Corriente,2023-12-22
AC00059,ES66445317040973870471,CL01158,Corriente,2024-10-28
AC00060,ES48767133564938965292,CL00081,Corriente,2024-02-28
AC00061,ES54224862512234046423,CL00456,Nómina,2025-07-15
AC00062,ES37519930561441389724,CL00889,Corriente,2024-05-03
AC00063,ES51862312225319991519,CL00417,Ahorro,2024-09-29
AC00064,ES26924224471100048972,CL01118,Corriente,2024-01-07
AC00065,ES53789440088363580879,CL00576,Ahorro,2023-02-03
AC00066,ES69782107215226404632,CL00864,Nómina,2025-01-19
AC00067,ES12518705709434178054,CL00108,Ahorro,2026-01-09
AC00068,ES21186792408630129475,CL00640,Corriente,2024-02-02
AC00069,ES43650520806381846237,CL00908,Corriente,2025-05-26
AC00070,ES81753996998223957671,CL00517,Corriente,2023-06-20
AC00071,ES17752050928340501839,CL00907,Nómina,2025-02-02
AC00072,ES47809631592007769609,CL00173,Corriente,2023-04-10
AC00073,ES71616503956827794033,CL00353,Ahorro,2025-02-24
AC00074,ES18388322509924111576,CL00856,Corriente,2023-06-23
AC00075,ES57821004121354787025,CL00276,Corriente,2024-06-07
AC00076,ES11832837310907968767,CL00495,Corriente,2025-01-08
AC00077,ES53285475439747615224,CL00798,Nómina,2025-10-04
AC00078,ES38997061997973368148,CL00516,Corriente,2023-11-04
AC00079,ES70900612638868039280,CL00933,Nómina,2023-10-21
AC00080,ES52494386198773419571,CL00715,Nómina,2025-02-12
AC00081,ES66677191209988134253,CL00491,Corriente,2024-03-11
AC00082,ES96148872298309610031,CL00735,Corriente,2024-03-23
AC00083,ES43133468686237689687,CL00883,Ahorro,2024-02-12
AC00084,ES59343936275560900691,CL00968,Corriente,2025-08-18
AC00085,ES14716308908633710991,CL00363,Corriente,2025-09-30
AC00086,ES78138517685804848246,CL00561,Corriente,2023-07-14
AC00087,ES44162524077565289853,CL00032,Corriente,2024-04-08
AC00088,ES91512450821395298569,CL00026,Corriente,2025-01-22
AC00089,ES51355454230916161465,CL00680,Corriente,2024-06-17
AC00090,ES84597661183130645360,CL00695,Corriente,2025-10-13
AC00091,ES78972994808873183530,CL00833,Nómina,2023-06-16
AC00092,ES66159902751150626297,CL00062,Corriente,2023-06-28
AC00093,ES59367041383900167628,CL00082,Nómina,2025-04-01
AC00094,ES88579089973735677449,CL01111,Corriente,2024-12-15
AC00095,ES73727770339014492395,CL00360,Corriente,2024-06-26
AC00096,ES41748037930976968275,CL00719,Corriente,2023-11-02
AC00097,ES27877031071744755952,CL00094,Corriente,2023-09-28
AC00098,ES97704263219359796280,CL00402,Nómina,2024-05-11
AC00099,ES37684300771135641223,CL00979,Ahorro,2023-06-27
AC00100,ES37888212134898489086,CL00147,Nómina,2024-08-03
AC00101,ES30154324513120939638,CL01055,Corriente,2023-09-12
AC00102,ES39382283628595055618,CL00165,Ahorro,2025-11-08
AC00103,ES33888829004099388986,CL00764,Corriente,2024-11-07
AC00104,ES73475759406468394673,CL00133,Corriente,2023-05-08
AC00105,ES56683083519189769108,CL01155,Corriente,2025-11-28
AC00106,ES37335634217478032006,CL00567,Corriente,2025-01-18
AC00107,ES72360034095003473805,CL00062,Corriente,2024-01-15
AC00108,ES15589635107461906568,CL00797,Corriente,2024-07-28
AC00109,ES82499534785098319585,CL00266,Corriente,2023-06-09
AC00110,ES86493577870521509150,CL00819,Corriente,2023-05-11
AC00111,ES78229838985282831268,CL00335,Ahorro,2025-03-08
AC00112,ES42920120125924180169,CL00280,Nómina,2024-10-05
AC00113,ES21642621181447266296,CL00245,Corriente,2024-08-24
AC00114,ES17811063563910104690,CL00164,Nómina,2023-11-27
AC00115,ES94146654834308877679,CL00412,Nómina,2024-09-03
AC00116,ES54697086276248927413,CL00440,Ahorro,2025-01-31
AC00117,ES85272035417441242599,CL00133,Corriente,2023-06-29
AC00118,ES93892351035120832230,CL00338,Nómina,2023-11-01
AC00119,ES22882886249692736886,CL01019,Corriente,2023-06-12
AC00120,ES65985472487342529184,CL00324,Corriente,2026-01-16
AC00121,ES10520541438519079049,CL01102,Corriente,2025-11-30
AC00122,ES45778387353035771963,CL00600,Nómina,2023-11-04
AC00123,ES90164947474893365088,CL00529,Ahorro,2023-12-26
AC00124,ES73387044744838495780,CL00641,Corriente,2025-09-28
AC00125,ES20683450756525035255,CL00117,Nómina,2023-07-11
AC00126,ES57621175855272291197,CL00934,Nómina,2024-10-20
AC00127,ES99681211957948006610,CL00374,Ahorro,2024-12-02
AC00128,ES73833940733780846878,CL00765,Ahorro,2023-03-29
AC00129,ES71465808779535061449,CL00280,Corriente,2023-03-10
AC00130,ES29167537273682283608,CL00494,Ahorro,2023-03-16
AC00131,ES37769614687401264137,CL00819,Ahorro,2025-11-25
AC00132,ES12929940748535566958,CL00395,Corriente,2023-09-23
AC00133,ES28986182930112681384,CL00303,Nómina,2023-06-27
AC00134,ES77537417472407694060,CL00073,Ahorro,2025-12-01
AC00135,ES87619418010312387763,CL00459,Corriente,2023-12-19
AC00136,ES12978412661820371729,CL00520,Corriente,2025-07-13
AC00137,ES54232369766841546685,CL01127,Corriente,2024-03-01
AC00138,ES96341317008019611920,CL00787,Corriente,2024-05-17
AC00139,ES67368310847687306940,CL00159,Nómina,2023-05-10
AC00140,ES57970829086912345064,CL00005,Corriente,2024-04-27
AC00141,ES18274595268867443671,CL00531,Ahorro,2023-06-26
AC00142,ES28205827255352766201,CL00027,Corriente,2024-11-26
AC00143,ES59506724706061252259,CL00337,Corriente,2023-12-13
AC00144,ES79588927242592522520,CL00393,Nómina,2025-07-05
AC00145,ES30430842868089731094,CL00867,Nómina,2025-04-28
AC00146,ES62358591159479214015,CL00461,Corriente,2024-01-14
AC00147,ES22653628169267101448,CL00279,Nómina,2024-04-18
AC00148,ES59231544016344639614,CL00508,Nómina,2026-01-10
AC00149,ES70930224438533767904,CL00907,Corriente,2025-02-16
AC00150,ES30215156417580722561,CL00992,Nómina,2025-05-10
AC00151,ES76449158282609958125,CL00827,Ahorro,2026-01-17
AC00152,ES22173970962368540378,CL00374,Nómina,2023-11-10
AC00153,ES79127134004887981240,CL00483,Corriente,2023-02-28
AC00154,ES87600834414944919976,CL00724,Nómina,2023-07-21
AC00155,ES23367714536217978790,CL01132,Corriente,2025-06-27
AC00156,ES97258087428490900216,CL00010,Ahorro,2025-12-29
AC00157,ES30350090951295119844,CL01149,Corriente,2026-01-12
AC00158,ES47252572058223619808,CL00711,Corriente,2023-05-23
AC00159,ES49382935193706861342,CL00542,Corriente,2025-09-18
AC00160,ES24180474428951510509,CL01081,Ahorro,2025-01-17
AC00161,ES71395484914657090972,CL00825,Corriente,2024-01-16
AC00162,ES65170320760588344981,CL00412,Corriente,2024-05-03
AC00163,ES48304032641395007130,CL00505,Corriente,2023-07-18
AC00164,ES47773236616734531518,CL00681,Corriente,2024-09-14
AC00165,ES37495236136633294616,CL00682,Corriente,2023-09-30
AC00166,ES27714759527533800979,CL01178,Corriente,2025-07-29
AC00167,ES81103713892018915184,CL00729,Ahorro,2023-05-14
AC00168,ES30915833163763977050,CL00867,Ahorro,2025-03-27
AC00169,ES88212095427855337995,CL00285,Ahorro,2025-01-22
AC00170,ES64263828641508845984,CL01021,Corriente,2024-12-12
AC00171,ES20853745374889729462,CL00924,Corriente,2024-03-31
AC00172,ES43967872950483431406,CL00254,Ahorro,2025-11-30
AC00173,ES96514435646781576472,CL00674,Corriente,2025-05-31
AC00174,ES23782935454404177357,CL00866,Corriente,2023-05-06
AC00175,ES65309625754322417484,CL01041,Ahorro,2024-02-02
AC00176,ES70579200649974160258,CL00615,Ahorro,2025-02-28
AC00177,ES19726449745020795233,CL00041,Corriente,2024-03-19
AC00178,ES33730578078904281815,CL00690,Nómina,2025-08-03
AC00179,ES29855694279439406072,CL01031,Corriente,2024-07-07
AC00180,ES92870466808926143901,CL01190,Ahorro,2024-02-25
AC00181,ES38206085350758532602,CL01105,Corriente,2023-05-17
AC00182,ES45457680671863849613,CL00333,Corriente,2024-08-15
AC00183,ES76738469766024120721,CL00077,Corriente,2023-03-05
AC00184,ES74910030843425400361,CL01191,Corriente,2024-12-09
AC00185,ES96530936556651669979,CL01190,Corriente,2023-12-20
AC00186,ES65820786510433940433,CL00175,Nómina,2023-12-11
AC00187,ES62739740238097967949,CL00787,Nómina,2023-02-06
AC00188,ES10606274858293412466,CL00288,Corriente,2023-08-12
AC00189,ES13613537113471692541,CL00573,Corriente,2023-12-20
AC00190,ES20964329960625756027,CL00271,Nómina,2025-05-26
AC00191,ES11934693363730015300,CL00156,Ahorro,2024-05-11
AC00192,ES48595672636081961982,CL00493,Ahorro,2023-10-22
AC00193,ES98653308222367321306,CL00581,Ahorro,2025-05-22
AC00194,ES48337244369976142563,CL01112,Corriente,2025-04-12
AC00195,ES26566814458784953865,CL00038,Nómina,2024-01-11
AC00196,ES90184624188311340995,CL00032,Corriente,2025-02-13
AC00197,ES69312776583623149705,CL00778,Ahorro,2023-04-14
AC00198,ES67133029465774213903,CL00473,Nómina,2024-04-08
AC00199,ES99182314443264719173,CL00923,Corriente,2024-01-10
AC00200,ES33749483804033884608,CL01147,Corriente,2024-01-04
AC00201,ES28459685574422704893,CL00733,Corriente,2023-03-21
AC00202,ES59190369093139072170,CL01026,Corriente,2023-03-16
AC00203,ES64139527719671046882,CL00424,Corriente,2024-07-08
AC00204,ES54513854877099017617,CL00828,Corriente,2023-02-14
AC00205,ES93703516583373249846,CL00242,Corriente,2025-08-04
AC00206,ES65202257488005177990,CL00335,Nómina,2025-09-24
AC00207,ES72600093752530643004,CL00529,Ahorro,2025-06-06
AC00208,ES36546573654357893794,CL00145,Ahorro,2025-02-20
AC00209,ES27431419866835210237,CL00899,Corriente,2025-12-23
AC00210,ES34358217736465639264,CL00595,Corriente,2025-01-07
AC00211,ES73522923062745341481,CL00736,Ahorro,2023-07-27
AC00212,ES12819562615934133504,CL00426,Ahorro,2025-08-25
AC00213,ES99401714994454626447,CL01078,Nómina,2025-09-22
AC00214,ES76185682347417694815,CL00188,Corriente,2023-04-05
AC00215,ES16921548824107338569,CL00405,Ahorro,2025-01-05
AC00216,ES71974578418677337201,CL00292,Corriente,2023-07-18
AC00217,ES45706904252837866270,CL00573,Ahorro,2023-06-18
AC00218,ES73194171699978434433,CL01134,Ahorro,2025-01-21
AC00219,ES56122384318736848987,CL00200,Ahorro,2023-10-03
AC00220,ES46500280667596734987,CL00166,Corriente,2023-08-25
AC00221,ES72766263736113369231,CL00833,Corriente,2023-12-03
AC00222,ES46479887095738481711,CL00027,Ahorro,2023-09-26
AC00223,ES80850973304067954253,CL00961,Corriente,2024-01-05
AC00224,ES49604451655353400489,CL00689,Nómina,2023-11-06
AC00225,ES26336315323721342923,CL01066,Nómina,2025-06-14
AC00226,ES94566823835647815763,CL01168,Corriente,2024-07-04
AC00227,ES97750976833260989866,CL00096,Corriente,2025-05-25
AC00228,ES14364958188947224742,CL00773,Ahorro,2026-01-16
AC00229,ES35635469926626732881,CL00029,Ahorro,2023-03-25
AC00230,ES85391241904229047824,CL00106,Ahorro,2024-05-30
AC00231,ES99227580057782681637,CL00723,Ahorro,2024-03-07
AC00232,ES63352723409105130002,CL00374,Ahorro,2024-09-01
AC00233,ES64486636325531623483,CL00735,Corriente,2024-04-28
AC00234,ES76506151586900645205,CL00866,Corriente,2023-03-04
AC00235,ES29318833820679978035,CL00986,Nómina,2024-08-04
AC00236,ES66321856646012000821,CL01110,Corriente,2025-03-30
AC00237,ES64843503427608242553,CL00972,Corriente,2023-10-08
AC00238,ES22913139522802589814,CL00581,Corriente,2023-10-05
AC00239,ES48329972455323272861,CL00656,Ahorro,2025-08-16
AC00240,ES79367908522578081642,CL00188,Corriente,2023-11-13
AC00241,ES23661979856052221700,CL01091,Corriente,2025-05-31
AC00242,ES21982870660433004692,CL00117,Corriente,2026-01-15
AC00243,ES40852605327314749033,CL00198,Corriente,2024-04-04
AC00244,ES35963343472003871622,CL00889,Corriente,2024-02-09
AC00245,ES22510140358159433620,CL00447,Corriente,2024-05-22
AC00246,ES33608983451305332192,CL00951,Nómina,2026-01-05
AC00247,ES53873069080262761695,CL00105,Corriente,2023-12-26
AC00248,ES34945730456002962818,CL00958,Corriente,2024-07-11
AC00249,ES58855023285604300897,CL00704,Corriente,2025-09-14
AC00250,ES49906423595364597418,CL00782,Corriente,2023-10-01
AC00251,ES68523876327037643770,CL00719,Nómina,2025-12-25
AC00252,ES95192072372608801792,CL00375,Corriente,2025-01-03
AC00253,ES13621661396362960357,CL00812,Corriente,2023-11-23
AC00254,ES55520370124739260950,CL00808,Corriente,2023-06-22
AC00255,ES23731068273058779324,CL00414,Corriente,2024-01-05
AC00256,ES40247323832125737458,CL01009,Nómina,2025-07-08
AC00257,ES78660586335812432271,CL00564,Ahorro,2023-09-22
AC00258,ES32882532445470552761,CL00479,Ahorro,2024-11-11
AC00259,ES39228389456934831136,CL00468,Ahorro,2024-11-19
AC00260,ES70612440324450096809,CL00986,Nómina,2024-11-01
AC00261,ES59537301161854914454,CL00968,Corriente,2025-02-23
AC00262,ES53125626931339759339,CL00764,Corriente,2025-05-21
AC00263,ES55538858597147551780,CL00876,Nómina,2025-04-23
AC00264,ES14960884393750331169,CL00669,Nómina,2025-01-12
AC00265,ES51432219115038605051,CL00870,Corriente,2025-09-03
AC00266,ES37494629601695139721,CL01111,Corriente,2026-01-29
AC00267,ES74974086112730104086,CL01106,Corriente,2025-03-04
AC00268,ES15899252909896281859,CL00134,Ahorro,2025-09-04
AC00269,ES70591343847767451903,CL00277,Corriente,2025-04-07
AC00270,ES78534624055209061980,CL00557,Corriente,2023-12-04
AC00271,ES66726961521117887112,CL00679,Corriente,2024-03-22
AC00272,ES95471561884703754905,CL00959,Corriente,2025-06-16
AC00273,ES66256020478970569991,CL00094,Corriente,2024-03-25
AC00274,ES13858886642749239580,CL00203,Nómina,2024-06-13
AC00275,ES55725753256208824469,CL00239,Corriente,2023-12-24
AC00276,ES36158769987170083430,CL00069,Corriente,2024-09-20
AC00277,ES92371675273911508422,CL00351,Corriente,2023-02-18
AC00278,ES46964900031149112694,CL01171,Corriente,2024-03-17
AC00279,ES81926417466407229608,CL00991,Corriente,2025-03-15
AC00280,ES32999562718991364314,CL00091,Corriente,2023-12-30
AC00281,ES68339089744286678989,CL01059,Ahorro,2024-09-28
AC00282,ES11769132671309818219,CL01180,Corriente,2025-03-21
AC00283,ES17597271235253526222,CL01141,Nómina,2023-02-08
AC00284,ES32116304295682199663,CL00134,Ahorro,2025-10-22
AC00285,ES88870431501229469500,CL01174,Corriente,2025-08-03
AC00286,ES20119702178041124588,CL00828,Nómina,2024-09-05
AC00287,ES28823183572616739088,CL00743,Corriente,2024-02-24
AC00288,ES87313080467738573415,CL01088,Ahorro,2024-08-17
AC00289,ES40963235555420873800,CL00463,Corriente,2024-11-16
AC00290,ES15342269656100090568,CL00681,Nómina,2023-12-28
AC00291,ES71160981348099975124,CL00956,Corriente,2023-08-27
AC00292,ES73109330646878555709,CL00841,Corriente,2026-01-24
AC00293,ES34284354580969002727,CL00678,Ahorro,2025-09-16
AC00294,ES30306267466396784574,CL00904,Ahorro,2024-12-29
AC00295,ES43348802368547140924,CL00628,Corriente,2026-01-21
AC00296,ES32531750485230764724,CL00960,Nómina,2024-01-04
AC00297,ES10418181858125949281,CL00532,Corriente,2023-10-05
AC00298,ES17219998891916119591,CL00100,Nómina,2024-12-26
AC00299,ES69684069476751170231,CL00663,Nómina,2023-02-06
AC00300,ES10756076955841941751,CL00912,Ahorro,2025-11-09
AC00301,ES45876071478085869360,CL00252,Nómina,2025-08-08
AC00302,ES80524005420107082111,CL00104,Ahorro,2023-08-05
AC00303,ES27289867484583030215,CL00660,Ahorro,2023-12-17
AC00304,ES45569142368262265088,CL00415,Corriente,2024-04-30
AC00305,ES57623862351982837245,CL00171,Ahorro,2023-03-14
AC00306,ES20703380668770487259,CL00793,Nómina,2023-07-25
AC00307,ES72428578705962543704,CL00923,Corriente,2024-11-16
AC00308,ES40495010414789244817,CL01178,Ahorro,2025-12-05
AC00309,ES72881188809912736151,CL00658,Nómina,2024-07-25
AC00310,ES60501904232146611530,CL00121,Corriente,2023-11-07
AC00311,ES17283008762420672107,CL00381,Nómina,2025-04-01
AC00312,ES71305005671000595168,CL01026,Ahorro,2025-05-04
AC00313,ES76482237943310852386,CL00008,Nómina,2024-08-30
AC00314,ES65304575014971550809,CL00321,Ahorro,2023-06-07
AC00315,ES42147513275875124330,CL01162,Ahorro,2023-09-14
AC00316,ES66299012708632570798,CL00693,Corriente,2025-05-28
AC00317,ES65234329509438027625,CL00789,Corriente,2025-03-20
AC00318,ES29969909868836050437,CL00266,Ahorro,2024-11-06
AC00319,ES14803978188355498375,CL00736,Ahorro,2023-02-21
AC00320,ES24436086215601187590,CL01173,Ahorro,2024-11-04
AC00321,ES14991673042699655193,CL01002,Corriente,2023-06-30
AC00322,ES60773913264236044160,CL00418,Corriente,2023-08-03
AC00323,ES69893400505667276922,CL00667,Corriente,2023-03-29
AC00324,ES76358990135455954012,CL00885,Corriente,2026-01-20
AC00325,ES93791288508729910973,CL00258,Corriente,2025-10-12
AC00326,ES10680408648425461884,CL00339,Corriente,2023-12-20
AC00327,ES95173456344989263859,CL00250,Corriente,2023-04-21
AC00328,ES43467251015204548164,CL00797,Corriente,2024-03-28
AC00329,ES84188500601156395455,CL00989,Corriente,2024-10-30
AC00330,ES84357876039071146185,CL00417,Ahorro,2024-03-01
AC00331,ES22958052785963685622,CL00334,Nómina,2024-03-04
AC00332,ES79946584515685549532,CL00888,Corriente,2025-01-02
AC00333,ES53978221390400053488,CL00026,Corriente,2024-02-24
AC00334,ES21718620316235121034,CL01173,Corriente,2025-06-29
AC00335,ES94969314907213373226,CL00295,Corriente,2023-08-02
AC00336,ES61393584132169422238,CL00774,Ahorro,2023-11-18
AC00337,ES41237139930627913628,CL00343,Ahorro,2024-12-18
AC00338,ES10921084794168983171,CL00983,Corriente,2024-10-20
AC00339,ES73464855914363980732,CL01194,Corriente,2025-05-28
AC00340,ES25461459463658595734,CL00806,Corriente,2026-01-23
AC00341,ES19937051871166445262,CL00621,Ahorro,2024-05-25
AC00342,ES38573678543433505285,CL00827,Corriente,2024-01-09
AC00343,ES61757241959403826286,CL00525,Corriente,2024-07-13
AC00344,ES39982188529908828503,CL01068,Ahorro,2024-11-23
AC00345,ES82328389433493224590,CL01107,Ahorro,2023-06-10
AC00346,ES80753834842109217081,CL00087,Corriente,2024-03-16
AC00347,ES31717850592448511212,CL01028,Corriente,2024-03-21
AC00348,ES82168809701455320632,CL00355,Ahorro,2024-03-08
AC00349,ES78993809227436089811,CL01163,Ahorro,2024-11-06
AC00350,ES44562985917748508893,CL01200,Ahorro,2025-04-15
AC00351,ES52711448673233632821,CL00883,Corriente,2025-07-11
AC00352,ES55794494519764518218,CL00255,Corriente,2025-10-24
AC00353,ES26897223759239758819,CL00621,Corriente,2025-10-30
AC00354,ES53123479812250049216,CL00615,Nómina,2025-05-12
AC00355,ES24514284514129633606,CL00682,Corriente,2024-08-16
AC00356,ES63125984499275353324,CL01105,Corriente,2023-12-07
AC00357,ES57125280023332161752,CL00529,Ahorro,2025-01-31
AC00358,ES57236187342404550204,CL00435,Corriente,2023-05-14
AC00359,ES33408350114191935896,CL00790,Nómina,2025-11-21
AC00360,ES30116968952022018266,CL00855,Corriente,2025-03-06
AC00361,ES55170239398335951514,CL00023,Corriente,2023-05-30
AC00362,ES82347946115058898020,CL00133,Nómina,2025-05-04
AC00363,ES96678946447796446628,CL00897,Corriente,2025-07-30
AC00364,ES82157563050159705217,CL00745,Ahorro,2025-10-21
AC00365,ES37858604407295211993,CL01036,Corriente,2023-02-11
AC00366,ES59142960598186928859,CL00913,Corriente,2024-08-28
AC00367,ES79444693157445463102,CL00519,Nómina,2025-03-11
AC00368,ES53496363621817456374,CL00621,Ahorro,2025-10-13
AC00369,ES84935580078102020954,CL00559,Nómina,2025-09-08
AC00370,ES65150122562532277923,CL00630,Corriente,2025-05-14
AC00371,ES40356180006414012150,CL00465,Corriente,2023-12-05
AC00372,ES66255930890286052158,CL01008,Corriente,2025-11-17
AC00373,ES60349625056434681942,CL00932,Corriente,2024-10-23
AC00374,ES65866663634866834259,CL00179,Corriente,2025-01-22
AC00375,ES39837084377447719676,CL00501,Corriente,2025-12-31
AC00376,ES56127559580602975978,CL00209,Corriente,2025-02-17
AC00377,ES41165574720184727021,CL00513,Nómina,2023-09-12
AC00378,ES32744577669793785976,CL01194,Corriente,2023-11-20
AC00379,ES39187875853346885162,CL00476,Nómina,2025-12-20
AC00380,ES13889448957311633038,CL01173,Corriente,2023-09-05
AC00381,ES10762192881411681068,CL00642,Ahorro,2024-05-26
AC00382,ES39868777508822851475,CL01072,Corriente,2024-07-22
AC00383,ES69622335136713177676,CL00754,Corriente,2024-07-19
AC00384,ES61326566544504868844,CL00988,Corriente,2025-10-15
AC00385,ES37651660925778588466,CL00632,Corriente,2023-03-22
AC00386,ES83207859437985100314,CL00375,Corriente,2024-12-16
AC00387,ES32625484958117583765,CL00434,Ahorro,2024-08-19
AC00388,ES19303809564539773971,CL00473,Corriente,2023-03-12
AC00389,ES95412169254917063992,CL00207,Corriente,2025-10-12
AC00390,ES35470452368395984993,CL00129,Nómina,2024-11-24
AC00391,ES32105701615435419810,CL01041,Nómina,2025-12-29
AC00392,ES73954183874225675453,CL00442,Ahorro,2025-09-10
AC00393,ES24253703857942483088,CL00196,Corriente,2025-05-20
AC00394,ES68978019709208339919,CL00113,Corriente,2025-09-17
AC00395,ES13436649020426312168,CL00560,Corriente,2025-07-14
AC00396,ES49899030934763989576,CL00260,Corriente,2025-08-20
AC00397,ES85805750016927934085,CL00427,Corriente,2025-06-22
AC00398,ES48695061151513740191,CL00031,Corriente,2024-04-30
AC00399,ES61326472972809741838,CL00606,Corriente,2025-02-21
AC00400,ES47262892374358340931,CL00738,Corriente,2024-08-17
AC00401,ES69586006659195757801,CL00430,Nómina,2025-08-27
AC00402,ES15919736897762415827,CL00383,Corriente,2024-06-24
AC00403,ES88128655164510559289,CL00816,Ahorro,2024-08-23
AC00404,ES32137119711992772882,CL01095,Corriente,2023-12-04
AC00405,ES74910831235071598820,CL01147,Ahorro,2023-08-13
AC00406,ES99159494819332774545,CL00331,Corriente,2025-11-18
AC00407,ES97867377717701690928,CL00832,Corriente,2024-03-16
AC00408,ES49729974114688283658,CL01165,Corriente,2023-07-04
AC00409,ES97196551886292459950,CL00002,Nómina,2024-09-12
AC00410,ES26925673192159657607,CL00955,Corriente,2023-08-18
AC00411,ES97229817999589322903,CL00007,Corriente,2025-07-02
AC00412,ES68974915396733155601,CL00355,Nómina,2024-02-09
AC00413,ES48756057258178525708,CL00696,Ahorro,2026-01-06
AC00414,ES59773587577622034734,CL00669,Nómina,2025-11-13
AC00415,ES68186187517802524452,CL00471,Corriente,2023-04-07
AC00416,ES83987885422981843874,CL00140,Nómina,2026-01-03
AC00417,ES67375571463496913910,CL00005,Corriente,2023-04-02
AC00418,ES48546662134929159820,CL01099,Corriente,2024-01-10
AC00419,ES62820934320769410333,CL00977,Ahorro,2023-05-16
AC00420,ES29350962840595667438,CL00200,Ahorro,2024-03-06
AC00421,ES52220016960340002631,CL00436,Corriente,2023-05-14
AC00422,ES47731537851684660446,CL00814,Nómina,2023-09-12
AC00423,ES35147459791896332511,CL01045,Corriente,2025-02-19
AC00424,ES33800425190752129072,CL00132,Corriente,2025-10-16
AC00425,ES31687925864931281269,CL00675,Corriente,2024-08-25
AC00426,ES81571412938876460161,CL01045,Nómina,2025-03-17
AC00427,ES89338578613809112394,CL01154,Corriente,2024-01-08
AC00428,ES53654157915112126853,CL00778,Corriente,2025-08-27
AC00429,ES87338026880154177738,CL00355,Corriente,2024-07-29
AC00430,ES89169184778780849191,CL00158,Nómina,2025-10-16
AC00431,ES41430569345257983655,CL00735,Corriente,2025-11-24
AC00432,ES44940335301572598509,CL00259,Corriente,2025-11-06
